,함수입력1,함수입력2,함수입력3,함수입력4,함수출력1,함수출력2
Calculate_Slenderness_Ratio,부재의 단면 특성값 List,부재의 비지지 분할 개수,부재의 길이,,세장비,
Calculate_Tensile_Strength,부재의 단면 특성값 List,,,,부재의 인장강도,
Calculate_Flexural_Buckling,부재의 단면 특성값 List,부재의 비지지 분할 개수,부재의 길이,,부재의 휨좌굴강도,
Calculate_Lateral_Torsional_Buckling,부재의 단면 특성값 List,부재의 비지지 분할 개수,부재의 길이,,부재의 비틀림좌굴강도,
Calculate_Compression_Flange_Local_Buckling,부재의 단면 특성값 List,,,,부재의 압축플랜지국부좌굴강도,
Calculate_Tension_Flange_Yielding,부재의 단면 특성값 List,,,,부재의 인장플랜지항복강도,
Calculate_Minor_Axis_Flange_Local_Buckling,부재의 단면 특성값 List,,,,부재의 플랜지국부좌굴강도 (약축),
Calculate_Shear_Capacity,부재의 단면 특성값 List,,,,부재의 강축방향 전단강도,부재의 약축방향 전단강도
Calculate_Combined_Ratio,계수하중 List,부재의 축강도,부재의 강축 휨강도,부재의 약축 휨강도,부재의 압축-휨 조합 설계강도비,
Calculate_Column_Capacity,부재의 단면 특성값 List,,,,"Column 설계강도, NG/OK 판별 여부",
Select_Applicable_Column,전체 후보 단면 List,,,,NG/OK 판별 Append한 전체 후보 단면 List,
Delete_NG_Element,NG/OK 판별 Append한 전체 후보 단면 List,,,,NG 단면 지운 후보 단면 List,
Calculate_Girder_Beam_Capacity,부재의 단면 특성값 List,Beam/Girder 여부,,,"Column 설계강도, NG/OK 판별 여부",
Select_Applicable_Girder_Beam,전체 후보 단면 List,Beam/Girder 여부,,,NG/OK 판별 Append한 전체 후보 단면 List,
Select_Applicable_Sub_Column,전체 후보 단면 List,,,,NG/OK 판별 Append한 전체 후보 단면 List,
Delete_NG_Sub_Column,NG/OK 판별 Append한 전체 후보 단면 List,,,,NG 단면 지운 후보 단면 List,
Collect_Light_Element,NG 단면 지운 후보 단면 List,,,,가장 가벼운 단면,
Select_Applicable_Column_Lateral_Brace,전체 후보 단면 List,,,,NG/OK 판별 Append한 전체 후보 단면 List,
Delete_NG_Brace,NG/OK 판별 Append한 전체 후보 단면 List,,,,NG 단면 지운 후보 단면 List,
,,,,,,
,,,,,,
