,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SB_WT550x249.5,404,559,45,26.2,20,419,31700,250,903000000,250000000,2150000,1230000,3830000,1930000,15500000,1.18E+11,139.7,WT22X167.5
H_SB_WT550x216.5,401,554,40.1,22,19.8,420,27500,216,762000000,217000000,1820000,1080000,3210000,1670000,10600000,73800000000,139.7,WT22X145
H_SB_WT550x195,401,551,36.1,19.9,19.8,419,24800,195,683000000,192000000,1630000,960000,2880000,1490000,7740000,53700000000,139.7,WT22X131
H_SB_WT550x171.5,401,546,31,18,20.1,415,21900,172,599000000,166000000,1450000,828000,2570000,1280000,5160000,37300000000,139.7,WT22X115
H_SB_WT500x441.5,424,546,82,45.5,30,402,56300,442,1380000000,524000000,3420000,2470000,6210000,3930000,92000000,6.28E+11,190.5,WT20X296.5
H_SB_WT500x374,417,533,70.1,39.1,29.9,396,47700,374,1140000000,425000000,2850000,2030000,5150000,3230000,57400000,3.76E+11,190.5,WT20X251.5
H_SB_WT500x321,411,523,59.9,34,30,391,40800,321,953000000,351000000,2430000,1700000,4360000,2690000,36700000,2.37E+11,190.5,WT20X215.5
H_SB_WT500x295.5,409,521,55.9,31,30,393,37600,296,862000000,321000000,2200000,1570000,3930000,2460000,29400000,1.82E+11,190.5,WT20X198.5
H_SB_WT500x277,409,516,52.1,29.5,29.9,390,35300,277,803000000,295000000,2060000,1450000,3690000,2260000,24000000,1.50E+11,190.5,WT20X186
H_SB_WT500x269.5,406,516,51.1,28.4,29.9,391,34300,270,778000000,288000000,2000000,1410000,3560000,2210000,22600000,1.37E+11,190.5,WT20X181
H_SB_WT500x241.5,404,511,46,25.4,29.9,390,30800,242,687000000,253000000,1770000,1260000,3150000,1950000,16500000,97200000000,190.5,WT20X162
H_SB_WT500x221.5,401,505,41.9,23.6,30,385,28100,222,624000000,227000000,1620000,1130000,2880000,1750000,12700000,74900000000,190.5,WT20X148.5
H_SB_WT500x206,401,503,40.1,21.1,30,389,26300,206,566000000,217000000,1450000,1080000,2570000,1670000,10700000,58500000000,190.5,WT20X138.5
H_SB_WT500x185.5,401,500,36.1,19.1,29.9,388,23700,186,504000000,193000000,1300000,964000,2290000,1490000,7910000,42400000000,190.5,WT20X124.5
H_SB_WT500x160.5,401,495,31,16.5,30,386,20500,160,429000000,166000000,1110000,828000,1970000,1270000,5160000,27100000000,190.5,WT20X107.5
