,Structural Material##OTHER##,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Length##LENGTH##MILLIMETERS,b##LENGTH##MILLIMETERS,h##LENGTH##MILLIMETERS,tr##LENGTH##MILLIMETERS,t##LENGTH##MILLIMETERS,A##AREA##SQUARE_METERS
H_SB_SHS-20x20x1.2,"Steel, 45-345",0.08,0.697,1000,20,20,1.2,1.2,0.865
H_SB_SHS-20x20x1.6,"Steel, 45-345",0.08,0.872,1000,20,20,1.6,1.6,1.123
H_SB_SHS-25x25x1.2,"Steel, 45-345",0.1,0.867,1000,25,25,1.2,1.2,1.105
H_SB_SHS-25x25x1.6,"Steel, 45-345",0.1,1.12,1000,25,25,1.6,1.6,1.432
H_SB_SHS-30x30x1.2,"Steel, 45-345",0.12,1.06,1000,30,30,1.2,1.2,1.345
H_SB_SHS-30x30x1.6,"Steel, 45-345",0.12,1.38,1000,30,30,1.6,1.6,1.752
H_SB_SHS-40x40x1.6,"Steel, 45-345",0.16,1.88,1000,40,40,1.6,1.6,2.392
H_SB_SHS-40x40x2.3,"Steel, 45-345",0.16,2.62,1000,40,40,2.3,2.3,3.332
H_SB_SHS-50x50x1.6,"Steel, 45-345",0.2,2.38,1000,50,50,1.6,1.6,3.032
H_SB_SHS-50x50x2.3,"Steel, 45-345",0.2,3.34,1000,50,50,2.3,2.3,4.252
H_SB_SHS-50x50x3.2,"Steel, 45-345",0.2,4.5,1000,50,50,3.2,3.2,5.572
H_SB_SHS-60x60x1.6,"Steel, 45-345",0.24,2.88,1000,60,60,1.6,1.6,3.672
H_SB_SHS-60x60x2.3,"Steel, 45-345",0.24,4.06,1000,60,60,2.3,2.3,5.172
H_SB_SHS-60x60x3.2,"Steel, 45-345",0.24,5.5,1000,60,60,3.2,3.2,7.007
H_SB_SHS-75x75x1.6,"Steel, 45-345",0.3,3.64,1000,75,75,1.6,1.6,4.632
H_SB_SHS-75x75x2.3,"Steel, 45-345",0.3,5.14,1000,75,75,2.3,2.3,6.552
H_SB_SHS-75x75x3.2,"Steel, 45-345",0.3,7.01,1000,75,75,3.2,3.2,8.927
H_SB_SHS-75x75x4.5,"Steel, 45-345",0.3,9.55,1000,75,75,4.5,4.5,12.17
H_SB_SHS-80x80x2.3,"Steel, 45-345",0.32,5.5,1000,80,80,2.3,2.3,7.102
H_SB_SHS-80x80x3.2,"Steel, 45-345",0.32,7.51,1000,80,80,3.2,3.2,9.567
H_SB_SHS-80x80x4.5,"Steel, 45-345",0.32,10.3,1000,80,80,4.5,4.5,13.07
H_SB_SHS-90x90x2.3,"Steel, 45-345",0.36,6.23,1000,90,90,2.3,2.3,7.932
H_SB_SHS-90x90x3.2,"Steel, 45-345",0.36,8.51,1000,90,90,3.2,3.2,10.85
H_SB_SHS-100x100x2.3,"Steel, 45-345",0.4,6.95,1000,100,100,2.3,2.3,8.852
H_SB_SHS-100x100x3.2,"Steel, 45-345",0.4,9.52,1000,100,100,3.2,3.2,12.13
H_SB_SHS-100x100x4,"Steel, 45-345",0.4,11.7,1000,100,100,4,4,14.92
H_SB_SHS-100x100x4.5,"Steel, 45-345",0.4,13.1,1000,100,100,4.5,4.5,16.67
H_SB_SHS-100x100x6,"Steel, 45-345",0.4,17,1000,100,100,6,6,21.63
H_SB_SHS-100x100x9,"Steel, 45-345",0.4,24.1,1000,100,100,9,9,30
H_SB_SHS-100x100x12,"Steel, 45-345",0.4,30.2,1000,100,100,12,12,67
H_SB_SHS-125x125x3.2,"Steel, 45-345",0.5,12,1000,125,125,3.2,3.2,38.53
H_SB_SHS-125x125x4.5,"Steel, 45-345",0.5,16.6,1000,125,125,4.5,4.5,15.33
H_SB_SHS-125x125x5,"Steel, 45-345",0.5,18.3,1000,125,125,5,5,21.17
H_SB_SHS-125x125x6,"Steel, 45-345",0.5,21.7,1000,125,125,6,6,23.36
H_SB_SHS-125x125x9,"Steel, 45-345",0.5,31.7,1000,125,125,9,9,27.63
H_SB_SHS-125x125x12,"Steel, 45-345",0.5,39.7,1000,125,125,12,12,39.67
H_SB_SHS-150x150x4.5,"Steel, 45-345",0.6,20.1,1000,150,150,4.5,4.5,50.53
H_SB_SHS-150x150x5,"Steel, 45-345",0.6,22.3,1000,150,150,5,5,25.67
H_SB_SHS-150x150x6,"Steel, 45-345",0.6,26.4,1000,150,150,6,6,28.36
H_SB_SHS-150x150x9,"Steel, 45-345",0.6,38.2,1000,150,150,9,9,33.63
H_SB_SHS-175x175x4.5,"Steel, 45-345",0.7,23.7,1000,175,175,4.5,4.5,48.67
H_SB_SHS-175x175x5,"Steel, 45-345",0.7,26.2,1000,175,175,5,5,30.17
H_SB_SHS-175x175x6,"Steel, 45-345",0.7,31.1,1000,175,175,6,6,33.36
H_SB_SHS-200x200x4.5,"Steel, 45-345",0.8,27.2,1000,200,200,4.5,4.5,39.63
H_SB_SHS-200x200x5,"Steel, 45-345",0.8,30.1,1000,200,200,5,5,34.67
H_SB_SHS-200x200x6,"Steel, 45-345",0.8,35.8,1000,200,200,6,6,38.36
H_SB_SHS-200x200x9,"Steel, 45-345",0.8,52.3,1000,200,200,9,9,45.63
H_SB_SHS-200x200x12,"Steel, 45-345",0.8,67.9,1000,200,200,12,12,66.67
H_SB_SHS-250x250x5,"Steel, 45-345",1,38,1000,250,250,5,5,86.53
H_SB_SHS-250x250x6,"Steel, 45-345",1,45.2,1000,250,250,6,6,48.36
H_SB_SHS-250x250x8,"Steel, 45-345",1,59.5,1000,250,250,8,8,57.63
H_SB_SHS-250x250x9,"Steel, 45-345",1,66.5,1000,250,250,9,9,75.79
H_SB_SHS-250x250x12,"Steel, 45-345",1,86.8,1000,250,250,12,12,84.67
