"Work Master
Code",Discipline,Code,Description,Code,Description,Code,Description,Code,L04,Code,L05,Code,L06,Code,L07,Code,L08,Code,L09,Code,L10,Code,L11,B01,B02,B03,B04,B05,B06,B07,B08,B09,UoM1,UoM2,"Work Group
Code","Work Master
Code"
A00ZZ000-00001,AR,A00,AR-Dummy,ZZ,-,000,-,,,,,,,,,,,,,,,,,,,,,,,,,,LOT,LOT,A00ZZ000,A00ZZ000-00001
A01ZZ001-00001,AR,A01,Earth Work,ZZ,-,001,Excavation,01,"Soil, Manual",,,,,,,,,,,01,D ≤ 1.5M,,,,,,,,,,,,M3,M3,A01ZZ001,A01ZZ001-00001
A01ZZ001-00002,AR,A01,Earth Work,ZZ,-,001,Excavation,01,"Soil, Manual",,,,,,,,,,,02,1.5M < D ≤ 2.0M,,,,,,,,,,,,M3,M3,A01ZZ001,A01ZZ001-00002
A01ZZ001-00003,AR,A01,Earth Work,ZZ,-,001,Excavation,01,"Soil, Manual",,,,,,,,,,,03,D > 2.0M,,,,,,,,,,,,M3,M3,A01ZZ001,A01ZZ001-00003
A01ZZ001-00004,AR,A01,Earth Work,ZZ,-,001,Excavation,02,"Soil, Mech.",,,,,,,,,,,04,D ≤ 2.0M,,,,,,,,,,,,M3,M3,A01ZZ001,A01ZZ001-00004
A01ZZ001-00005,AR,A01,Earth Work,ZZ,-,001,Excavation,02,"Soil, Mech.",,,,,,,,,,,05,2.0M < D ≤ 4.0M,,,,,,,,,,,,M3,M3,A01ZZ001,A01ZZ001-00005
A01ZZ001-00006,AR,A01,Earth Work,ZZ,-,001,Excavation,02,"Soil, Mech.",,,,,,,,,,,06,D > 4.0M,,,,,,,,,,,,M3,M3,A01ZZ001,A01ZZ001-00006
A01ZZ001-00007,AR,A01,Earth Work,ZZ,-,001,Excavation,03,Weathered Rock,,,,,,,,,,,,,,,RQD Value=(  )%,,,,,,,,,M3,M3,A01ZZ001,A01ZZ001-00007
A01ZZ001-00008,AR,A01,Earth Work,ZZ,-,001,Excavation,04,Soft Rock,,,,,,,,,,,,,,,RQD Value=(  )%,,,,,,,,,M3,M3,A01ZZ001,A01ZZ001-00008
A01ZZ001-00009,AR,A01,Earth Work,ZZ,-,001,Excavation,05,Hard Rock,,,,,,,,,,,,,,,RQD Value=(  )%,,,,,,,,,M3,M3,A01ZZ001,A01ZZ001-00009
A01ZZ002-00001,AR,A01,Earth Work,ZZ,-,002,Blasting for Excavation,04,Soft Rock,,,,,,,,,,,,,,,RQD Value=(  )%,,,,,,,,,M3,M3,A01ZZ002,A01ZZ002-00001
A01ZZ002-00002,AR,A01,Earth Work,ZZ,-,002,Blasting for Excavation,05,Hard Rock,,,,,,,,,,,,,,,RQD Value=(  )%,,,,,,,,,M3,M3,A01ZZ002,A01ZZ002-00002
A01ZZ003-00001,AR,A01,Earth Work,ZZ,-,003,Backfill,06,"Re-use, Soil",,,,,,,,,,,,,,,,,,,,Compaction=(  )%,,,,M3,M3,A01ZZ003,A01ZZ003-00001
A01ZZ003-00002,AR,A01,Earth Work,ZZ,-,003,Backfill,07,"Borrow Soil (Borrow Pit provided by Client, Free of Charge)",,,,,,,,,,,,,,,,,,Borrow Pit Distance=Appx. (  )km,,Compaction=(  )%,,,,M3,M3,A01ZZ003,A01ZZ003-00002
A01ZZ003-00003,AR,A01,Earth Work,ZZ,-,003,Backfill,08,"Purchased, Soil",,,,,,,,,,,,,,,,,,,,Compaction=(  )%,,,,M3,M3,A01ZZ003,A01ZZ003-00003
A01ZZ004-00001,AR,A01,Earth Work,ZZ,-,004,Disposal,09,Soil,,,,,,,,,,,,,,,,,,Disposal Distance=Appx. (  )km from Site,,,,,,M3,M3,A01ZZ004,A01ZZ004-00001
A01ZZ004-00002,AR,A01,Earth Work,ZZ,-,004,Disposal,03,Weathered Rock,,,,,,,,,,,,,,,,,,Disposal Distance=Appx. (  )km from Site,,,,,,M3,M3,A01ZZ004,A01ZZ004-00002
A01ZZ004-00003,AR,A01,Earth Work,ZZ,-,004,Disposal,04,Soft Rock,,,,,,,,,,,,,,,,,,Disposal Distance=Appx. (  )km from Site,,,,,,M3,M3,A01ZZ004,A01ZZ004-00003
A01ZZ004-00004,AR,A01,Earth Work,ZZ,-,004,Disposal,05,Hard Rock,,,,,,,,,,,,,,,,,,Disposal Distance=Appx. (  )km from Site,,,,,,M3,M3,A01ZZ004,A01ZZ004-00004
A01ZZ004-00005,AR,A01,Earth Work,ZZ,-,004,Disposal,10,Contaminated Soil,,,,,,,,,,,,,,,,,,Disposal Distance=Appx. (  )km from Site,,,,,,M3,M3,A01ZZ004,A01ZZ004-00005
A01ZZ005-00001,AR,A01,Earth Work,ZZ,-,005,Base Course,,,,,,,,,,,,,,,01,THK≤150mm,,THK=(  )mm,,,CBR=(  )%,,,,,M2,M2,A01ZZ005,A01ZZ005-00001
A01ZZ005-00002,AR,A01,Earth Work,ZZ,-,005,Base Course,,,,,,,,,,,,,,,06,150mm<THK≤250mm,,THK=(  )mm,,,CBR=(  )%,,,,,M2,M2,A01ZZ005,A01ZZ005-00002
A01ZZ005-00003,AR,A01,Earth Work,ZZ,-,005,Base Course,,,,,,,,,,,,,,,07,250mm<THK≤350mm,,THK=(  )mm,,,CBR=(  )%,,,,,M2,M2,A01ZZ005,A01ZZ005-00003
A01ZZ005-00004,AR,A01,Earth Work,ZZ,-,005,Base Course,,,,,,,,,,,,,,,08,350mm<THK,,THK=(  )mm,,,CBR=(  )%,,,,,M2,M2,A01ZZ005,A01ZZ005-00004
A01ZZ006-00001,AR,A01,Earth Work,ZZ,-,006,Subbase Course,,,,,,,,,,,01,Including Compaction of Sub-Grade,,,01,THK≤150mm,,THK=(  )mm,,,"CBR=(  )% for Subgrade, (  )% for Subbase","Compaction=(  )% for Subgrade, (  )% for Subbase",,,,M2,M2,A01ZZ006,A01ZZ006-00001
A01ZZ006-00002,AR,A01,Earth Work,ZZ,-,006,Subbase Course,,,,,,,,,,,01,Including Compaction of Sub-Grade,,,06,150mm<THK≤250mm,,THK=(  )mm,,,"CBR=(  )% for Subgrade, (  )% for Subbase","Compaction=(  )% for Subgrade, (  )% for Subbase",,,,M2,M2,A01ZZ006,A01ZZ006-00002
A01ZZ006-00003,AR,A01,Earth Work,ZZ,-,006,Subbase Course,,,,,,,,,,,01,Including Compaction of Sub-Grade,,,07,250mm<THK≤350mm,,THK=(  )mm,,,"CBR=(  )% for Subgrade, (  )% for Subbase","Compaction=(  )% for Subgrade, (  )% for Subbase",,,,M2,M2,A01ZZ006,A01ZZ006-00003
A01ZZ006-00004,AR,A01,Earth Work,ZZ,-,006,Subbase Course,,,,,,,,,,,01,Including Compaction of Sub-Grade,,,08,350mm<THK,,THK=(  )mm,,,"CBR=(  )% for Subgrade, (  )% for Subbase","Compaction=(  )% for Subgrade, (  )% for Subbase",,,,M2,M2,A01ZZ006,A01ZZ006-00004
A01ZZ007-00001,AR,A01,Earth Work,ZZ,-,007,Fill Material (only for Module Base Frame),,,,,,,,,,,,,,,,,,,,,,,,,,M3,M3,A01ZZ007,A01ZZ007-00001
A01ZZ008-00001,AR,A01,Earth Work,ZZ,-,008,Gravel,,,,,,,,,,,,,,,,,,DIA=(  )mm~(  )mm or Max DIA=(  )mm,,,,,,,,M3,M3,A01ZZ008,A01ZZ008-00001
A01ZZ009-00001,AR,A01,Earth Work,ZZ,-,009,Crushed Stone,,,,,,,,,,,,,,,,,,DIA=(  )mm~(  )mm or Max DIA=(  )mm,,,,,,,,M3,M3,A01ZZ009,A01ZZ009-00001
A01ZZ010-00001,AR,A01,Earth Work,ZZ,-,010,Clean Sand for Cable Trench or UG Pipe,,,,,,,,,,,,,,,,,,,,,,,,,,M3,M3,A01ZZ010,A01ZZ010-00001
A01ZZ011-00001,AR,A01,Earth Work,ZZ,-,011,Anti Termite Treatment,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M2,A01ZZ011,A01ZZ011-00001
A01ZZ012-00001,AR,A01,Earth Work,ZZ,-,012,PE Sheet (Vapor Barrier),,,,,,,,,,,,,,,,,,THK=(  )mm,,,,,,,,M2,M2,A01ZZ012,A01ZZ012-00001
A01ZZ013-00001,AR,A01,Earth Work,ZZ,-,013,Sheet Pile,,,,,,,,,,,02,"To Comply with ASTM A 328, Including Dewatering",,,,,,H=(  )m,,,,,,,,M2,M2,A01ZZ013,A01ZZ013-00001
A02AA014-00001,AR,A02,Pile Work,AA,Piling Work,014,Reinforced Concrete Pile (Round Type),11,Direct Driving,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA014,A02AA014-00001
A02AA014-00002,AR,A02,Pile Work,AA,Piling Work,014,Reinforced Concrete Pile (Round Type),12,Driving After Predrilling,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA014,A02AA014-00002
A02AA014-00003,AR,A02,Pile Work,AA,Piling Work,014,Reinforced Concrete Pile (Round Type),13,Jacking,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA014,A02AA014-00003
A02AA014-00004,AR,A02,Pile Work,AA,Piling Work,014,Reinforced Concrete Pile (Round Type),14,Soil Cement Injected Precast(S.I.P) Pile Method,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA014,A02AA014-00004
A02AA014-00005,AR,A02,Pile Work,AA,Piling Work,014,Reinforced Concrete Pile (Round Type),15,Double Rod Auger(D.R.A),,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA014,A02AA014-00005
A02AA014-00006,AR,A02,Pile Work,AA,Piling Work,014,Reinforced Concrete Pile (Round Type),16,Percussion Rotary Drill(P.R.D) Pile Method,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA014,A02AA014-00006
A02AA015-00001,AR,A02,Pile Work,AA,Piling Work,015,Reinforced Concrete Pile (Square Type),11,Direct Driving,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,Size=(  )mm x (  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA015,A02AA015-00001
