,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SC_W1100x499,404,1120,45,26.2,20,63500,499,3.76,12900000000,499000000,23100000,2460000,26500000,3870000,31100000,1.44E+14,0,W44x335
H_SC_W1100x433,401,1110,40.1,22,19.8,55100,433,3.73,11200000000,433000000,20300000,2160000,23100000,3360000,21200000,1.24E+14,0,W44x290
H_SC_W1100x390,401,1100,36.1,19.9,19.8,49800,390,3.73,10000000000,384000000,18200000,1920000,20800000,2980000,15500000,1.09E+14,0,W44x262
H_SC_W1100x343,401,1090,31,18,20.1,43700,343,3.71,8660000000,331000000,15900000,1660000,18000000,2570000,10400000,9.29E+13,0,W44x230
H_SC_W1000x883,424,1090,82,45.5,30,112000,883,3.73,21000000000,1050000000,38300000,4950000,45200000,7880000,185000000,2.68E+14,0,W40x593
H_SC_W1000x748,417,1070,70.1,39.1,29.9,95500,748,3.68,17300000000,849000000,32400000,4080000,38000000,6460000,115000000,2.12E+14,0,W40x503
H_SC_W1000x642,411,1050,59.9,34,30,81900,642,3.63,14500000000,703000000,27700000,3410000,32100000,5370000,73700000,1.71E+14,0,W40x431
H_SC_W1000x591,409,1040,55.9,31,30,75500,591,3.61,13300000000,641000000,25600000,3130000,29500000,4920000,59100000,1.55E+14,0,W40x397
H_SC_W1000x554,409,1030,52.1,29.5,29.9,71000,554,3.58,12300000000,591000000,23900000,2900000,27500000,4540000,48300000,1.42E+14,0,W40x372
H_SC_W1000x539,406,1030,51.1,28.4,29.9,68400,539,3.58,12000000000,574000000,23300000,2830000,26900000,4420000,45400000,1.38E+14,0,W40x362
H_SC_W1000x483,404,1020,46,25.4,29.9,61500,483,3.56,10700000000,508000000,21000000,2510000,23900000,3920000,33000000,1.20E+14,0,W40x324
H_SC_W1000x443,401,1010,41.9,23.6,30,56300,443,3.53,9660000000,454000000,19200000,2260000,21800000,3520000,25500000,1.07E+14,0,W40x297
H_SC_W1000x412,401,1010,40.1,21.1,30,52600,412,3.53,9120000000,433000000,18000000,2160000,20500000,3340000,21400000,1.02E+14,0,W40x277
H_SC_W1000x371,401,1000,36.1,19.1,29.9,47400,371,3.51,8160000000,385000000,16300000,1930000,18400000,2980000,15900000,8.97E+13,0,W40x249
H_SC_W1000x321,401,991,31,16.5,30,41000,321,3.51,6950000000,334000000,14100000,1660000,15800000,2560000,10300000,7.63E+13,0,W40x215
H_SC_W1000x296,401,983,27.2,16.5,30,37900,296,3.48,6200000000,289000000,12600000,1450000,14200000,2250000,7620000,6.61E+13,0,W40x199
H_SC_W1000x584,315,1060,64,36.1,30,74800,584,3.25,12400000000,334000000,23600000,2130000,28000000,3470000,71600000,8.22E+13,0,W40x392
H_SC_W1000x494,310,1040,54.1,31,30,63000,494,3.2,10300000000,268000000,19800000,1740000,23400000,2820000,43700000,6.47E+13,0,W40x331
H_SC_W1000x486,307,1040,54.1,30,30,61900,486,3.2,10200000000,266000000,19700000,1720000,23100000,2790000,42900000,6.42E+13,0,W40x327
H_SC_W1000x438,305,1030,49,26.9,30,55600,438,3.18,9120000000,234000000,17700000,1530000,20800000,2460000,31900000,5.59E+13,0,W40x294
H_SC_W1000x415,305,1020,46,26.2,29.9,53100,415,3.15,8530000000,217000000,16700000,1430000,19500000,2290000,27100000,5.16E+13,0,W40x278
H_SC_W1000x393,302,1020,43.9,24.4,30,49900,393,3.15,8070000000,205000000,15900000,1350000,18500000,2160000,23400000,4.86E+13,0,W40x264
H_SC_W1000x350,302,1010,40.1,21.1,30,44600,350,3.12,7240000000,185000000,14300000,1220000,16600000,1930000,17200000,4.32E+13,0,W40x235
H_SC_W1000x314,300,1000,36.1,19.1,29.9,40100,314,3.1,6450000000,162000000,12900000,1080000,14800000,1720000,12700000,3.79E+13,0,W40x211
H_SC_W1000x272,300,991,30.5,16.5,30,34400,272,3.1,5490000000,138000000,11100000,918000,12700000,1450000,8030000,3.17E+13,0,W40x183
H_SC_W1000x249,300,980,26.2,16.5,29.9,31800,249,3.07,4830000000,118000000,9830000,785000,11400000,1250000,5830000,2.68E+13,0,W40x167
H_SC_W1000x222,300,970,21.1,16,30,28300,222,3.05,4080000000,95300000,8410000,636000,9800000,1020000,3900000,2.15E+13,0,W40x149
H_SC_W920x970,447,1040,89.9,50,24.1,124000,970,3.73,21100000000,1340000000,40300000,6010000,47700000,9520000,247000000,3.03E+14,0,W36x652
H_SC_W920x787,437,1010,73.9,40.9,24.1,101000,787,3.66,16500000000,1040000000,32600000,4740000,38200000,7440000,136000000,2.27E+14,0,W36x529
H_SC_W920x725,434,998,68.1,38.1,24.1,92300,725,3.61,15000000000,937000000,30000000,4310000,34900000,6750000,107000000,2.02E+14,0,W36x487
H_SC_W920x656,432,988,62,34.5,24.1,83900,656,3.58,13400000000,828000000,27000000,3850000,31300000,6030000,80700000,1.78E+14,0,W36x441
H_SC_W920x588,427,975,55.9,31,24.1,74800,588,3.56,11900000000,728000000,24400000,3410000,28000000,5330000,59100000,1.54E+14,0,W36x395
H_SC_W920x537,424,965,51.1,28.4,24.1,68400,537,3.53,10700000000,653000000,22100000,3080000,25400000,4800000,45400000,1.37E+14,0,W36x361
H_SC_W920x491,422,958,47,25.9,24.1,62500,491,3.51,9700000000,591000000,20300000,2800000,23100000,4340000,35100000,1.22E+14,0,W36x330
H_SC_W920x449,424,947,42.7,24,24.1,57400,449,3.51,8780000000,541000000,18500000,2560000,21000000,3950000,26800000,1.11E+14,0,W36x302
H_SC_W920x420,422,942,39.9,22.5,24.1,53500,420,3.48,8160000000,499000000,17200000,2360000,19500000,3650000,21900000,1.02E+14,0,W36x282
H_SC_W920x390,422,937,36.6,21.3,24.1,49800,390,3.48,7450000000,454000000,15900000,2160000,18000000,3340000,17300000,9.18E+13,0,W36x262
H_SC_W920x368,419,932,34.3,20.3,24.1,46800,368,3.45,6950000000,420000000,15000000,2020000,16900000,3110000,14400000,8.49E+13,0,W36x247
H_SC_W920x344,419,927,32,19.3,24.1,44000,344,3.45,6490000000,391000000,14000000,1870000,15800000,2880000,11900000,7.84E+13,0,W36x231
H_SC_W920x381,310,951,43.9,24.4,19.1,48600,381,3.05,6990000000,220000000,14700000,1420000,17000000,2250000,22000000,4.51E+13,0,W36x256
H_SC_W920x345,307,943,39.9,22.1,19,43900,345,3.05,6240000000,195000000,13300000,1270000,15300000,2000000,16500000,3.97E+13,0,W36x232
H_SC_W920x313,310,932,34.5,21.1,19.1,39900,313,3.02,5490000000,171000000,11800000,1110000,13700000,1750000,11700000,3.44E+13,0,W36x210
H_SC_W920x289,307,927,32,19.4,19.1,36800,289,3.02,5040000000,156000000,10900000,1010000,12600000,1600000,9240000,3.12E+13,0,W36x194
H_SC_W920x271,307,922,30,18.4,19,34600,271,3,4700000000,144000000,10200000,944000,11800000,1490000,7700000,2.87E+13,0,W36x182
H_SC_W920x253,305,919,27.9,17.3,19.1,32300,253,3,4370000000,133000000,9520000,872000,10900000,1370000,6290000,2.65E+13,0,W36x170
H_SC_W920x238,305,914,25.9,16.5,19.1,30300,238,2.97,4060000000,123000000,8880000,805000,10200000,1270000,5160000,2.42E+13,0,W36x160
H_SC_W920x223,305,912,23.9,15.9,19,28600,223,2.97,3760000000,112000000,8260000,739000,9520000,1160000,4200000,2.21E+13,0,W36x150
H_SC_W920x201,305,904,20.1,15.2,19,25700,201,2.97,3250000000,93700000,7190000,618000,8340000,978000,2910000,1.83E+13,0,W36x135
H_SC_W840x576,411,914,57.9,32,20.1,73500,576,3.38,10100000000,674000000,22100000,3280000,25600000,5110000,61600000,1.23E+14,0,W33x387
H_SC_W840x527,409,904,53.1,29.5,20.1,67100,527,3.35,9160000000,608000000,20300000,2970000,23300000,4620000,47900000,1.10E+14,0,W33x354
H_SC_W840x473,406,894,48,26.4,20.1,60500,473,3.33,8120000000,537000000,18200000,2640000,20800000,4100000,35100000,9.59E+13,0,W33x318
H_SC_W840x433,404,884,43.9,24.4,20.1,55200,433,3.3,7370000000,483000000,16700000,2390000,19000000,3700000,27100000,8.57E+13,0,W33x291
H_SC_W840x392,401,876,39.9,22.1,20,49900,392,3.28,6620000000,433000000,15100000,2150000,17000000,3310000,20300000,7.55E+13,0,W33x263
H_SC_W840x359,404,869,35.6,21.1,20,45900,359,3.28,5910000000,388000000,13600000,1930000,15400000,2980000,15100000,6.74E+13,0,W33x241
H_SC_W840x329,401,861,32.5,19.7,19.8,42100,329,3.25,5370000000,350000000,12400000,1740000,14000000,2690000,11600000,6.02E+13,0,W33x221
H_SC_W840x299,399,856,29.2,18.2,20.1,38100,299,3.23,4830000000,312000000,11200000,1560000,12700000,2410000,8660000,5.32E+13,0,W33x201
H_SC_W840x251,292,859,31,17,17.8,31900,251,2.82,3870000000,129000000,9000000,883000,10300000,1380000,7370000,2.21E+13,0,W33x169
H_SC_W840x226,295,851,26.9,16.1,17.8,29000,226,2.82,3400000000,114000000,7980000,773000,9160000,1210000,5160000,1.93E+13,0,W33x152
H_SC_W840x210,292,846,24.4,15.4,17.8,26800,210,2.79,3100000000,102000000,7340000,700000,8420000,1100000,4040000,1.73E+13,0,W33x141
H_SC_W840x193,292,841,21.7,14.7,17.9,24700,193,2.79,2790000000,90700000,6650000,621000,7650000,975000,3070000,1.52E+13,0,W33x130
H_SC_W840x176,292,836,18.8,14,17.8,22400,176,2.77,2460000000,77800000,5880000,534000,6800000,841000,2210000,1.30E+13,0,W33x118
H_SC_W760x582,396,843,62,34.5,20,74200,582,3.18,8620000000,645000000,20500000,3240000,23800000,5080000,72000000,9.83E+13,0,W30x391
H_SC_W760x531,394,833,56.9,31.5,20.1,67700,531,3.15,7780000000,579000000,18700000,2930000,21600000,4570000,55800000,8.70E+13,0,W30x357
H_SC_W760x484,391,823,52.1,29,20,61900,484,3.12,6990000000,516000000,17000000,2650000,19500000,4130000,42900000,7.71E+13,0,W30x326
H_SC_W760x434,389,813,47,25.9,20.1,55500,434,3.1,6200000000,458000000,15200000,2360000,17400000,3650000,31300000,6.71E+13,0,W30x292
H_SC_W760x389,386,803,41.9,23.6,20.1,49700,389,3.07,5450000000,399000000,13600000,2080000,15500000,3210000,22500000,5.77E+13,0,W30x261
H_SC_W760x350,384,795,38.1,21.1,20.1,44700,350,3.05,4870000000,356000000,12300000,1870000,13900000,2870000,16800000,5.10E+13,0,W30x235
H_SC_W760x314,384,785,33.5,19.7,19.8,40200,314,3.02,4290000000,315000000,10900000,1640000,12300000,2540000,11800000,4.46E+13,0,W30x211
H_SC_W760x284,381,780,30.2,18,19.8,36200,284,3.02,3830000000,280000000,9830000,1470000,11100000,2260000,8740000,3.92E+13,0,W30x191
H_SC_W760x257,381,772,27.2,16.6,19.8,32800,257,3,3430000000,249000000,8870000,1310000,9950000,2020000,6490000,3.46E+13,0,W30x173
H_SC_W760x220,267,780,30,16.5,16.5,28100,220,2.57,2780000000,94500000,7140000,710000,8190000,1110000,6040000,1.33E+13,0,W30x148
H_SC_W760x196,267,770,25.4,15.6,16.5,25000,196,2.54,2400000000,81600000,6230000,610000,7160000,957000,4050000,1.13E+13,0,W30x132
H_SC_W760x185,267,767,23.6,14.9,16.5,23500,185,2.54,2230000000,75300000,5820000,564000,6690000,885000,3330000,1.04E+13,0,W30x124
H_SC_W760x173,267,762,21.6,14.4,16.5,22100,173,2.53,2050000000,68300000,5390000,513000,6190000,806000,2680000,9.37E+12,0,W30x116
H_SC_W760x161,267,757,19.3,13.8,16.5,20500,161,2.52,1860000000,60800000,4900000,457000,5670000,719000,2080000,8.30E+12,0,W30x108
