,Width##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Structural Material##OTHER##,Section Name Key##OTHER##,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Centroid Horizontal##SECTION_PROPERTY##MILLIMETERS,Assembly Code##OTHER##
H_SC_H-100x100x6x8,100,6,10,2821333333,40757,"Steel, 45-345",,2190,41200,87600,0.57,17.2 ,1.34E+06,3.83E+06,100,8,26700,76500,50,50,
H_SC_H-125x125x6.5x9,125,6.5,10,9855468750,71369,"Steel, 45-345",,3031,71900,154000,0.72,23.8 ,2.93E+06,8.47E+06,125,9,47000,136000,62.5,62.5,
H_SC_H-150x75x5x7,75,5,8,2516185547,23108,"Steel, 45-345",,1785,20800,102000,0.58,14.0 ,4.95E+05,6.66E+06,150,7,13200,88800,75,37.5,
H_SC_H-148x100x6x9,100,6,11,7245375000,58608,"Steel, 45-345",,2684,46700,157000,0.67,21.1 ,1.51E+06,1.02E+07,148,9,30100,138000,74,50,
H_SC_H-150x150x7x10,150,7,11,27562500000,116007,"Steel, 45-345",,4014,115000,246000,0.87,31.5 ,5.63E+06,1.64E+07,150,10,75100,219000,75,75,
H_SC_H-198x99x4.5x7,99,4.5,11,10324264364,28440,"Steel, 45-345",,2318,35700,180000,0.76,18.2 ,1.14E+06,1.58E+07,198,7,23000,160000,99,49.5,
H_SC_H-200x100x5.5x8,100,5.5,11,12288000000,44781,"Steel, 45-345",,2716,41900,209000,0.77,21.3 ,1.34E+06,1.84E+07,200,8,26800,184000,100,50,
H_SC_H-194x150x6x9,150,6,13,43316015625,86220,"Steel, 45-345",,3901,104000,309000,0.95,30.6 ,5.07E+06,2.69E+07,194,9,67600,277000,97,75,
H_SC_H-200x200x8x12,200,8,13,1.41376E+11,262485,"Steel, 45-345",,6353,244000,525000,1.16,49.9 ,1.60E+07,4.72E+07,200,12,160000,472000,100,100,
H_SC_H-200x204x12x12,204,12,13,1.50029E+11,343296,"Steel, 45-345",,7153,257000,565000,1.17,56.2 ,1.70E+07,4.98E+07,200,12,167000,498000,100,102,
H_SC_H-208x202x10x16,202,10,13,2.02565E+11,615595,"Steel, 45-345",,8369,332000,710000,1.18,65.7 ,2.20E+07,6.53E+07,208,16,218000,628000,104,101,
H_SC_H-248x124x5x8,124,5,12,36607180800,52325,"Steel, 45-345",,3268,63600,319000,0.96,25.7 ,2.55E+06,3.54E+07,248,8,41100,285000,124,62,
H_SC_H-250x125x6x9,125,6,12,42539794922,78102,"Steel, 45-345",,3766,73100,366000,0.97,29.6 ,2.94E+06,4.05E+07,250,9,47000,324000,125,62.5,
H_SC_H-244x175x7x11,175,7,16,1.33354E+11,181923,"Steel, 45-345",,5624,173000,558000,1.15,44.1 ,9.84E+06,6.12E+07,244,11,113000,502000,122,87.5,
H_SC_H-244x252x11x11,252,11,16,3.98194E+11,326982,"Steel, 45-345",,8206,358000,805000,1.45,64.4 ,2.94E+07,8.79E+07,244,11,233000,720000,122,126,
H_SC_H-248x249x8x13,249,8,16,4.61813E+11,404809,"Steel, 45-345",,8470,408000,883000,1.45,66.5 ,3.35E+07,9.93E+07,248,13,269000,801000,124,124.5,
H_SC_H-250x250x9x14,250,9,16,5.07646E+11,514681,"Steel, 45-345",,9218,444000,960000,1.46,72.4 ,3.65E+07,1.08E+08,250,14,292000,867000,125,125,
H_SC_H-250x255x14x14,255,14,16,5.38718E+11,682341,"Steel, 45-345",,10470,468000,1040000,1.47,82.2 ,3.88E+07,1.15E+08,250,14,304000,919000,125,127.5,
H_SC_H-298x149x5.5x8,149,5.5,13,92732836967,66942,"Steel, 45-345",,4080,91800,475000,1.16,32.0 ,4.42E+06,6.32E+07,298,8,59300,424000,149,74.5,
H_SC_H-300x150x6.5x9,150,6.5,13,1.07174E+11,99539,"Steel, 45-345",,4678,105000,542000,1.17,36.7 ,5.08E+06,7.21E+07,300,9,67700,481000,150,75,
H_SC_H-294x200x8x12,200,8,18,3.18096E+11,278528,"Steel, 45-345",,7238,247000,859000,1.34,56.8 ,1.60E+07,1.13E+08,294,12,160000,771000,147,100,
H_SC_H-298x201x9x14,201,9,18,3.82069E+11,436708,"Steel, 45-345",,8336,291000,1000000,1.35,65.4 ,1.90E+07,1.33E+08,298,14,189000,893000,149,100.5,
H_SC_H-294x302x12x12,302,12,18,1.09519E+12,510336,"Steel, 45-345",,10770,560000,1280000,1.74,84.5 ,5.52E+07,1.69E+08,294,12,365000,1150000,147,151,
H_SC_H-298x299x9x14,299,9,18,1.25767E+12,615983,"Steel, 45-345",,11080,634000,1389000,1.74,87.0 ,6.24E+07,1.88E+08,298,14,417000,1270000,149,149.5,
H_SC_H-300x300x10x15,300,10,18,1.37067E+12,770000,"Steel, 45-345",,11980,684000,1500000,1.75,94.0 ,6.75E+07,2.04E+08,300,15,450000,1360000,150,150,
H_SC_H-300x305x15x15,305,15,18,1.44035E+12,1006875,"Steel, 45-345",,13480,716000,1610000,1.76,106.0 ,7.10E+07,2.15E+08,300,15,466000,1440000,150,152.5,
H_SC_H-304x301x11x17,301,11,18,1.59111E+12,1113208,"Steel, 45-345",,13480,781000,1705000,1.76,106.0 ,7.73E+07,2.34E+08,304,17,514000,1540000,152,150.5,
H_SC_H-310x305x15x20,305,15,18,1.98845E+12,1952917,"Steel, 45-345",,16530,949000,2079000,1.78,130.0 ,9.46E+07,2.82E+08,310,20,620000,1810000,155,152.5,
H_SC_H-310x310x20x20,310,20,18,2.08785E+12,2426667,"Steel, 45-345",,18080,992000,2199000,1.79,142.0 ,9.94E+07,2.94E+08,310,20,642000,1890000,155,155,
H_SC_H-346x174x6x9,174,6,14,2.24357E+11,108828,"Steel, 45-345",,5268,140000,716000,1.35,41.4 ,7.92E+06,1.11E+08,346,9,91000,641000,173,87,
