,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Flange Fillet##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Centroid Horizontal##SECTION_PROPERTY##MILLIMETERS,Flange Thickness Location##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SB_C380x74,94.5,381,16.5,18.2,8.25,16.5,20.3,38.15,9480,74,168000000,4580000,882000,61800,1120000,133000,1100000,1.32E+11,57.15,ChannelsC15X50
H_SB_C380x60,89.4,381,16.5,13.2,8.25,16.5,19.8,38.1,7610,60,145000000,3820000,762000,54700,942000,112000,604000,1.10E+11,50.8,ChannelsC15X40
H_SB_C380x50.4,86.4,381,16.5,10.2,8.25,16.5,20,38.1,6450,50.4,131000000,3360000,688000,50600,832000,101000,420000,96100000000,50.8,ChannelsC15X33.9
H_SB_C310x45,80.5,305,12.7,13,6.35,12.7,17.1,33.75,5680,45,67400000,2130000,442000,33600,554000,70800,358000,40500000000,44.45,ChannelsC12X30
H_SB_C310x37,77.5,305,12.7,9.83,6.35,12.7,17.1,33.835,4740,37,59900000,1850000,393000,30600,482000,62600,224000,34900000000,44.45,ChannelsC12X25
H_SB_C310x30.8,74.7,305,12.7,7.16,6.35,12.7,17.7,33.77,3920,30.8,53700000,1610000,352000,28200,420000,56900,154000,30100000000,44.45,ChannelsC12X20.7
H_SB_C250x45,77,254,11.1,17.1,5.55,11.1,16.5,29.95,5680,45,42900000,1640000,339000,27000,438000,61900,508000,21300000000,44.45,ChannelsC10X30
H_SB_C250x37,73.4,254,11.1,13.4,5.55,11.1,15.7,30,4740,37,37900000,1390000,298000,24100,379000,52100,286000,18300000000,44.45,ChannelsC10X25
H_SB_C250x30,69.6,254,11.1,9.63,5.55,11.1,15.4,29.985,3790,30,32800000,1170000,259000,21500,318000,44200,153000,15300000000,38.1,ChannelsC10X20
H_SB_C250x22.8,66,254,11.1,6.1,5.55,11.1,16.1,29.95,2890,22.8,28000000,945000,221000,18800,261000,38300,87000,12200000000,38.1,ChannelsC10X15.3
H_SB_C230x30,67.3,229,10.5,11.4,5.25,10.5,14.8,27.95,3790,30,25300000,1000000,221000,19200,277000,40300,178000,10600000000,38.1,ChannelsC9X20
H_SB_C230x22,63.2,229,10.5,7.24,5.25,10.5,14.9,27.98,2840,22,21200000,795000,185000,16600,223000,33400,86600,8320000000,34.925,ChannelsC9X15
H_SB_C230x19.9,61.7,229,10.5,5.92,5.25,10.5,15.3,27.89,2540,19.9,19900000,728000,174000,15600,206000,31800,69900,7570000000,34.925,ChannelsC9X13.4
H_SB_C200x27.9,64.3,203,9.91,12.4,4.955,9.91,14.4,25.95,3550,27.9,18300000,820000,180000,16600,228000,35600,181000,6740000000,38.1,ChannelsC8X18.75
H_SB_C200x20.5,59.4,203,9.91,7.7,4.955,9.91,14.1,25.85,2600,20.5,15000000,633000,148000,13900,180000,28300,77400,5160000000,34.925,ChannelsC8X13.75
H_SB_C200x17.1,57.4,203,9.91,5.59,4.955,9.91,14.5,25.905,2170,17.1,13500000,545000,133000,12700,158000,25700,54100,4430000000,34.925,ChannelsC8X11.5
H_SB_C180x22,58.4,178,9.3,10.6,4.65,9.3,13.5,23.9,2790,22,11300000,570000,127000,12700,160000,26700,111000,3520000000,31.75,ChannelsC7X14.75
H_SB_C180x18.2,55.6,178,9.3,7.98,4.65,9.3,13.3,23.81,2320,18.2,10100000,483000,113000,11400,139000,23300,67000,3010000000,31.75,ChannelsC7X12.25
H_SB_C180x14.6,53.1,178,9.3,5.33,4.65,9.3,13.7,23.885,1850,14.6,8820000,398000,99500,10100,118000,20600,41500,2460000000,31.75,ChannelsC7X9.8
H_SB_C150x19.3,54.9,152,8.71,11.1,4.355,8.71,13.1,21.9,2460,19.3,7200000,437000,94700,10500,119000,22100,98600,1930000000,34.925,ChannelsC6X13
H_SB_C150x15.6,51.6,152,8.71,7.98,4.355,8.71,12.7,21.81,1980,15.6,6290000,358000,82600,9190,101000,18700,53300,1590000000,28.575,ChannelsC6X10.5
H_SB_C150x12.2,48.8,152,8.71,5.08,4.355,8.71,13,21.86,1540,12.2,5450000,286000,71300,8000,84600,16200,30600,1260000000,28.575,ChannelsC6X8.2
H_SB_C130x13,48,127,8.13,8.26,4.065,8.13,12.1,19.87,1700,13,3700000,260000,58300,7280,71900,15000,45400,787000000,28.575,ChannelsC5X9
H_SB_C130x10.4,44.5,127,8.13,4.83,4.065,8.13,12.3,19.835,1270,10.4,3110000,196000,49000,6100,58200,12400,22900,596000000,0,ChannelsC5X6.7
H_SB_C100x10.8,43.7,102,7.52,8.15,3.76,7.52,11.7,17.775,1370,10.8,1910000,177000,37500,5520,46500,11400,34000,333000000,25.4,ChannelsC4X7.25
H_SB_C100x9.3,41.91,102,6.91,6.2738,3.455,6.91,11,17.8181,1140,9.3,1660000,144000,32800,4650,39800,9320,20300,277000000,0,ChannelsC4X6.25
H_SB_C100x8,40.1,102,7.52,4.67,3.76,7.52,11.6,17.715,1020,8,1600000,130000,31500,4540,37500,9260,16600,247000000,0,ChannelsC4X5.4
H_SB_C100x6.7,40.1,102,7.52,3.18,3.76,7.52,12.5,18.46,890,6.7,1520000,120000,30000,4340,34700,8700,13400,234000000,0,ChannelsC4X4.5
H_SB_C75x8.9,40.6,76.2,6.93,9.04,3.465,6.93,11.6,15.78,1140,8.9,862000,125000,22600,4310,28500,8900,30200,124000000,0,ChannelsC3X6
H_SB_C75x7.4,38.1,76.2,6.93,6.55,3.465,6.93,11.2,15.775,948,7.4,770000,100000,20200,3740,24900,7600,17700,102000000,0,ChannelsC3X5
H_SB_C75x6.1,35.8,76.2,6.93,4.32,3.465,6.93,11.1,15.74,774,6.1,687000,79500,18000,3210,21600,6540,11200,82400000,0,ChannelsC3X4.1
H_SB_C75x5.2,34.8,76.2,6.93,3.35,3.465,6.93,11.3,15.725,703,5.2,653000,70300,17000,2980,20300,5960,9410,74100000,0,ChannelsC3X3.5
