,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS
H_SB_HE 100 AA,100,91,5.5,5.5,12,15.6,12.2,0.553,0,0,0,0,0,0,0,0,0
H_SB_HE 100 A,100,96,8,8,12,21.24,16.7,0.561,0,0,0,0,0,0,0,0,0
H_SB_HE 100 B,100,100,10,10,12,26.04,20.4,0.567,0,0,0,0,0,0,0,0,0
H_SB_HE 100 M,106,120,20,20,12,53.24,41.8,0.619,0,0,0,0,0,0,0,0,0
H_SB_HE 120 AA,120,109,5.5,5.5,12,18.55,14.6,0.669,0,0,0,0,0,0,0,0,0
H_SB_HE 120 A,120,114,8,8,12,25.34,19.9,0.677,0,0,0,0,0,0,0,0,0
H_SB_HE 120 B,120,120,11,11,12,34.01,26.7,0.686,0,0,0,0,0,0,0,0,0
H_SB_HE 120 M,126,140,21,21,12,66.41,52.1,0.738,0,0,0,0,0,0,0,0,0
H_SB_HE 140 AA,140,128,6,6,12,23.02,18.1,0.787,0,0,0,0,0,0,0,0,0
H_SB_HE 140 A,140,133,8.5,8.5,12,31.42,24.7,0.794,0,0,0,0,0,0,0,0,0
H_SB_HE 140 B,140,140,12,12,12,42.96,33.7,0.805,0,0,0,0,0,0,0,0,0
H_SB_HE 140 M,146,160,22,22,12,80.56,63.2,0.857,0,0,0,0,0,0,0,0,0
H_SB_HE 160 AA,160,148,7,7,15,30.36,23.8,0.901,0,0,0,0,0,0,0,0,0
H_SB_HE 160 A,160,152,9,9,15,38.77,30.4,0.906,0,0,0,0,0,0,0,0,0
H_SB_HE 160 B,160,160,13,13,15,54.25,42.6,0.918,0,0,0,0,0,0,0,0,0
H_SB_HE 160 M,166,180,23,23,15,97.05,76.2,0.97,0,0,0,0,0,0,0,0,0
H_SB_HE 180 AA,180,167,7.5,7.5,15,36.53,28.7,1.018,0,0,0,0,0,0,0,0,0
H_SB_HE 180 A,180,171,9.5,9.5,15,45.25,35.5,1.024,0,0,0,0,0,0,0,0,0
H_SB_HE 180 B,180,180,14,14,15,65.25,51.2,1.037,0,0,0,0,0,0,0,0,0
H_SB_HE 180 M,186,200,24,24,15,113.3,88.9,1.089,0,0,0,0,0,0,0,0,0
H_SB_HE 200 AA,200,186,8,8,18,44.13,34.6,1.13,0,0,0,0,0,0,0,0,0
H_SB_HE 200 A,200,190,10,10,18,53.83,42.3,1.136,0,0,0,0,0,0,0,0,0
H_SB_HE 200 B,200,200,15,15,18,78.08,61.3,1.151,0,0,0,0,0,0,0,0,0
H_SB_HE 200 M,206,220,25,25,18,131.3,103,1.203,0,0,0,0,0,0,0,0,0
H_SB_HE 220 AA,220,205,8.5,8.5,18,51.46,40.4,1.247,0,0,0,0,0,0,0,0,0
H_SB_HE 220 A,220,210,11,11,18,64.34,50.5,1.255,0,0,0,0,0,0,0,0,0
H_SB_HE 220 B,220,220,16,16,18,91.04,71.5,1.27,0,0,0,0,0,0,0,0,0
H_SB_HE 220 M,226,240,26,26,18,149.4,117,1.322,0,0,0,0,0,0,0,0,0
H_SB_HE 240 AA,240,224,9,9,21,60.38,47.4,1.359,0,0,0,0,0,0,0,0,0
H_SB_HE 240 A,240,230,12,12,21,76.84,60.3,1.369,0,0,0,0,0,0,0,0,0
H_SB_HE 240 B,240,240,17,17,21,106,83.2,1.384,0,0,0,0,0,0,0,0,0
H_SB_HE 240 M,248,270,32,32,21,199.6,157,1.46,0,0,0,0,0,0,0,0,0
H_SB_HE 260 AA,260,244,9.5,9.5,24,68.97,54.1,1.474,0,0,0,0,0,0,0,0,0
H_SB_HE 260 A,260,250,12.5,12.5,24,86.82,68.2,1.484,0,0,0,0,0,0,0,0,0
H_SB_HE 260 B,260,260,17.5,17.5,24,118.4,93,1.499,0,0,0,0,0,0,0,0,0
H_SB_HE 260 M,268,290,32.5,32.5,24,219.6,172,1.575,0,0,0,0,0,0,0,0,0
H_SB_HE 280 AA,280,264,10,10,24,78.02,61.2,1.593,0,0,0,0,0,0,0,0,0
H_SB_HE 280 A,280,270,13,13,24,97.26,76.4,1.603,0,0,0,0,0,0,0,0,0
H_SB_HE 280 B,280,280,18,18,24,131.4,103,1.618,0,0,0,0,0,0,0,0,0
H_SB_HE 280 M,288,310,33,33,24,240.2,189,1.694,0,0,0,0,0,0,0,0,0
H_SB_HE 300 AA,300,283,10.5,10.5,27,88.91,69.8,1.705,0,0,0,0,0,0,0,0,0
H_SB_HE 300 A,300,290,14,14,27,112.5,88,1.717,0,0,0,0,0,0,0,0,0
H_SB_HE 300 B,300,300,19,19,27,149.1,117,1.732,0,0,0,0,0,0,0,0,0
H_SB_HE 300 M,310,340,39,39,27,303.1,238,1.832,0,0,0,0,0,0,0,0,0
H_SB_HE 320 AA,300,301,11,11,27,94.58,74,1.74,0,0,0,0,0,0,0,0,0
