,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS
H_SB_IPE A 100,55,98,45,4.7,7,878,6.9,0.397,0,0,0,0,0,0,0,0.00E+00,0
H_SB_IPE 100,55,100,40.1,5.7,7,1032,8.1,0.4,0,0,0,0,0,0,0,1.24E+14,0
H_SB_IPE A 120,64,117.6,31,5.1,7,1103,8.7,0.472,0,0,0,0,0,0,0,9.29E+13,0
H_SB_IPE 120,64,120,82,6.3,7,1321,10.4,0.475,0,0,0,0,0,0,0,2.68E+14,0
H_SB_IPE A 140,73,137.4,59.9,5.6,7,1339,10.5,0.547,0,0,0,0,0,0,0,1.71E+14,0
H_SB_IPE 140,73,140,55.9,6.9,7,1643,12.9,0.551,0,0,0,0,0,0,0,1.55E+14,0
H_SB_IPE A 160,82,157,51.1,5.9,9,1618,12.7,0.619,0,0,0,0,0,0,0,1.38E+14,0
H_SB_IPE 160,82,160,46,7.4,9,2009,15.8,0.623,0,0,0,0,0,0,0,1.20E+14,0
H_SB_IPE A 180,91,177,40.1,6.5,9,1958,15.4,0.694,0,0,0,0,0,0,0,1.02E+14,0
H_SB_IPE 180,91,180,36.1,8,9,2395,18.8,0.698,0,0,0,0,0,0,0,8.97E+13,0
H_SB_IPE O 180,92,182,31,9,9,2710,21.3,0.705,0,0,0,0,0,0,0,7.63E+13,0
H_SB_IPE A 200,100,197,64,7,12,2347,18.4,0.764,0,0,0,0,0,0,0,8.22E+13,0
H_SB_IPE 200,100,200,54.1,8.5,12,2848,22.4,0.768,0,0,0,0,0,0,0,6.47E+13,0
H_SB_IPE O 200,102,202,54.1,9.5,12,3196,25.1,0.779,0,0,0,0,0,0,0,6.42E+13,0
H_SB_IPE A 220,110,217,46,7.7,12,2826,22.2,0.843,0,0,0,0,0,0,0,5.16E+13,0
H_SB_IPE 220,110,220,43.9,9.2,12,3337,26.2,0.848,0,0,0,0,0,0,0,4.86E+13,0
H_SB_IPE O 220,112,222,40.1,10.2,12,3739,29.4,0.858,0,0,0,0,0,0,0,4.32E+13,0
H_SB_IPE A 240,120,237,30.5,8.3,15,3331,26.2,0.918,0,0,0,0,0,0,0,3.17E+13,0
H_SB_IPE 240,120,240,26.2,9.8,15,3912,30.7,0.922,0,0,0,0,0,0,0,2.68E+13,0
H_SB_IPE O 240,122,242,21.1,10.8,15,4371,34.3,0.932,0,0,0,0,0,0,0,2.15E+13,0
H_SB_IPE A 270,135,267,73.9,8.7,15,3915,30.7,1.037,0,0,0,0,0,0,0,2.27E+14,0
H_SB_IPE 270,135,270,68.1,10.2,15,4595,36.1,1.041,0,0,0,0,0,0,0,2.02E+14,0
H_SB_IPE O 270,136,274,62,12.2,15,5384,42.3,1.051,0,0,0,0,0,0,0,1.78E+14,0
H_SB_IPE A 300,150,297,51.1,9.2,15,4653,36.5,1.156,0,0,0,0,0,0,0,1.37E+14,0
H_SB_IPE 300,150,300,47,10.7,15,5381,42.2,1.16,0,0,0,0,0,0,0,1.22E+14,0
H_SB_IPE O 300,152,304,42.7,12.7,15,6283,49.3,1.174,0,0,0,0,0,0,0,1.11E+14,0
H_SB_IPE A 330,160,327,36.6,10,18,5474,43,1.25,0,0,0,0,0,0,0,9.18E+13,0
H_SB_IPE 330,160,330,34.3,11.5,18,6261,49.1,1.254,0,0,0,0,0,0,0,8.49E+13,0
H_SB_IPE O 330,162,334,32,13.5,18,7262,57,1.268,0,0,0,0,0,0,0,7.84E+13,0
H_SB_IPE A 360,170,357.6,39.9,11.5,18,6396,50.2,1.351,0,0,0,0,0,0,0,3.97E+13,0
H_SB_IPE 360,170,360,34.5,12.7,18,7273,57.1,1.353,0,0,0,0,0,0,0,3.44E+13,0
H_SB_IPE O 360,172,364,32,14.7,18,8413,66,1.367,0,0,0,0,0,0,0,3.12E+13,0
H_SB_IPE A 400,180,397,27.9,12,21,7310,57.4,1.464,0,0,0,0,0,0,0,2.65E+13,0
H_SB_IPE 400,180,400,25.9,13.5,21,8446,66.3,1.467,0,0,0,0,0,0,0,2.42E+13,0
H_SB_IPE O 400,182,404,23.9,15.5,21,9639,75.7,1.481,0,0,0,0,0,0,0,2.21E+13,0
H_SB_IPE A 450,190,447,57.9,13.1,21,8555,67.2,1.603,0,0,0,0,0,0,0,1.23E+14,0
H_SB_IPE 450,190,450,53.1,14.6,21,9882,77.6,1.605,0,0,0,0,0,0,0,1.10E+14,0
H_SB_IPE O 450,192,456,48,17.6,21,11770,92.4,1.622,0,0,0,0,0,0,0,9.59E+13,0
H_SB_IPE A 500,200,497,39.9,14.5,21,10110,79.4,1.741,0,0,0,0,0,0,0,7.55E+13,0
H_SB_IPE 500,200,500,35.6,16,21,11550,90.7,1.744,0,0,0,0,0,0,0,6.74E+13,0
H_SB_IPE O 500,202,506,32.5,19,21,13670,107,1.76,0,0,0,0,0,0,0,6.02E+13,0
H_SB_IPE A 550,210,547,31,15.7,24,11730,92.1,1.875,0,0,0,0,0,0,0,2.21E+13,0
H_SB_IPE 550                 ,210,550,26.9,17.2,24,13440,106,1.877,0,0,0,0,0,0,0,1.93E+13,0
H_SB_IPE O 550,212,556,24.4,20.2,24,15610,123,1.893,0,0,0,0,0,0,0,1.73E+13,0
H_SB_IPE A 600,220,597,18.8,17.5,24,13700,108,2.013,0,0,0,0,0,0,0,1.30E+13,0
H_SB_IPE 600,220,600,62,19,24,15600,122,2.015,0,0,0,0,0,0,0,9.83E+13,0
H_SB_IPE O 600,224,610,56.9,24,24,19680,154,2.045,0,0,0,0,0,0,0,8.70E+13,0
H_SB_IPE 750 x 147,265,753,47,17,17,18750,147,2.51,0,0,0,0,0,0,0,6.71E+13,0
H_SB_IPE 750 x 173,267,762,41.9,21.6,17,22130,173,2.534,0,0,0,0,0,0,0,5.77E+13,0
H_SB_IPE 750 x 196,268,770,38.1,25.4,17,25080,196,2.552,0,0,0,0,0,0,0,5.10E+13,0
