,Width##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Structural Material##OTHER##,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Centroid Horizontal##SECTION_PROPERTY##MILLIMETERS,Assembly Code##OTHER##,Ix##OTHER##,Length##LENGTH##MILLIMETERS,Zx##OTHER##,b##LENGTH##MILLIMETERS,h##LENGTH##MILLIMETERS,r##LENGTH##MILLIMETERS,s##LENGTH##MILLIMETERS,t##LENGTH##MILLIMETERS,A##AREA##SQUARE_MILLIMETERS
H_SB_H-100x100x6x8,100,6,10,2821333333,40757,"Steel, 45-345",2190,41200,87600,0.57,17.2,1.34E+06,3.83E+06,100,8,26700,76500,50,50,,3.83E+06,1524,87600,100,100,10,6,8,2190
H_SB_H-125x125x6.5x9,125,6.5,10,9855468750,71369,"Steel, 45-345",3031,71900,154000,0.72,23.8,2.93E+06,8.47E+06,125,9,47000,136000,62.5,62.5,,8.47E+06,1524,154000,125,125,10,6.5,9,3031
H_SB_H-150x75x5x7,75,5,8,2516185547,23108,"Steel, 45-345",1785,20800,102000,0.58,14,4.95E+05,6.66E+06,150,7,13200,88800,75,37.5,,6.66E+06,1524,102000,75,150,8,5,7,1785
H_SB_H-148x100x6x9,100,6,11,7245375000,58608,"Steel, 45-345",2684,46700,157000,0.67,21.1,1.51E+06,1.02E+07,148,9,30100,138000,74,50,,1.02E+07,1524,157000,100,148,11,6,9,2684
H_SB_H-150x150x7x10,150,7,11,27562500000,116007,"Steel, 45-345",4014,115000,246000,0.87,31.5,5.63E+06,1.64E+07,150,10,75100,219000,75,75,,1.64E+07,1524,246000,150,150,11,7,10,4014
H_SB_H-198x99x4.5x7,99,4.5,11,10324264364,28440,"Steel, 45-345",2318,35700,180000,0.76,18.2,1.14E+06,1.58E+07,198,7,23000,160000,99,49.5,,1.58E+07,1524,180000,99,198,11,4.5,7,2318
H_SB_H-200x100x5.5x8,100,5.5,11,12288000000,44781,"Steel, 45-345",2716,41900,209000,0.77,21.3,1.34E+06,1.84E+07,200,8,26800,184000,100,50,,1.84E+07,1524,209000,100,200,11,5.5,8,2716
H_SB_H-194x150x6x9,150,6,13,43316015625,86220,"Steel, 45-345",3901,104000,309000,0.95,30.6,5.07E+06,2.69E+07,194,9,67600,277000,97,75,,2.69E+07,1524,309000,150,194,13,6,9,3901
H_SB_H-200x200x8x12,200,8,13,1.41E+11,262485,"Steel, 45-345",6353,244000,525000,1.16,49.9,1.60E+07,4.72E+07,200,12,160000,472000,100,100,,4.72E+07,1524,525000,200,200,13,8,12,6353
H_SB_H-200x204x12x12,204,12,13,1.50E+11,343296,"Steel, 45-345",7153,257000,565000,1.17,56.2,1.70E+07,4.98E+07,200,12,167000,498000,100,102,,4.98E+07,1524,565000,204,200,13,12,12,7153
H_SB_H-208x202x10x16,202,10,13,2.03E+11,615595,"Steel, 45-345",8369,332000,710000,1.18,65.7,2.20E+07,6.53E+07,208,16,218000,628000,104,101,,6.53E+07,1524,710000,202,208,13,10,16,8369
H_SB_H-248x124x5x8,124,5,12,36607180800,52325,"Steel, 45-345",3268,63600,319000,0.96,25.7,2.55E+06,3.54E+07,248,8,41100,285000,124,62,,3.54E+07,1524,319000,124,248,12,5,8,3268
H_SB_H-250x125x6x9,125,6,12,42539794922,78102,"Steel, 45-345",3766,73100,366000,0.97,29.6,2.94E+06,4.05E+07,250,9,47000,324000,125,62.5,,4.05E+07,1524,366000,125,250,12,6,9,3766
H_SB_H-244x175x7x11,175,7,16,1.33E+11,181923,"Steel, 45-345",5624,173000,558000,1.15,44.1,9.84E+06,6.12E+07,244,11,113000,502000,122,87.5,,6.12E+07,1524,558000,175,244,16,7,11,5624
H_SB_H-244x252x11x11,252,11,16,3.98E+11,326982,"Steel, 45-345",8206,358000,805000,1.45,64.4,2.94E+07,8.79E+07,244,11,233000,720000,122,126,,8.79E+07,1524,805000,252,244,16,11,11,8206
H_SB_H-248x249x8x13,249,8,16,4.62E+11,404809,"Steel, 45-345",8470,408000,883000,1.45,66.5,3.35E+07,9.93E+07,248,13,269000,801000,124,124.5,,9.93E+07,1524,883000,249,248,16,8,13,8470
