,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SB_CT-50x100x6x8,100,50,8,6,10,25,1095,8.6,0.3,0,0,0,0,0,0,0,0,0,
H_SB_CT-62.5x125x6.5x9,125,62.5,9,6.5,10,31.25,1516,11.9,0.375,0,0,0,0,0,0,0,0,0,
H_SB_CT-75x75x5x7,75,75,7,5,8,37.5,892.5,7.01,0.3,0,0,0,0,0,0,0,0,0,
H_SB_CT-75x100x6x9,100,75,9,6,11,37.5,1342,10.5,0.348,0,0,0,0,0,0,0,0,0,
H_SB_CT-75x150x7x10,150,75,10,7,11,37.5,2007,15.8,0.45,0,0,0,0,0,0,0,0,0,
H_SB_CT-100x100x5.5x8,100,100,8,5.5,11,50,1358,10.7,0.4,0,0,0,0,0,0,0,0,0,
H_SB_CT-97x150x6x9,150,97,9,6,13,48.5,1951,15.3,0.494,0,0,0,0,0,0,0,0,0,
H_SB_CT-100x200x8x12,200,100,12,8,13,50,3177,24.9,0.6,0,0,0,0,0,0,0,0,0,
H_SB_CT-100x204x12x12,204,100,12,12,13,50,3577,28.1,0.606,0,0,0,0,0,0,0,0,0,
H_SB_CT-104x202x10x16,202,104,16,10,13,52,4185,32.8,0.612,0,0,0,0,0,0,0,0,0,
H_SB_CT-124x124x5x8,124,124,8,5,12,62,1634,12.8,0.496,0,0,0,0,0,0,0,0,0,
H_SB_CT-125x125x6x9,125,125,9,6,12,62.5,1883,12.8,0.5,0,0,0,0,0,0,0,0,0,
H_SB_CT-122x175x7x11,175,122,11,7,16,61,2812,22.1,0.594,0,0,0,0,0,0,0,0,0,
H_SB_CT-122x252x11x11,252,122,11,11,16,61,4103,32.2,0.748,0,0,0,0,0,0,0,0,0,
H_SB_CT-124x249x8x13,249,124,13,8,16,62,4235,33.2,0.746,0,0,0,0,0,0,0,0,0,
H_SB_CT-125x250x9x14,250,125,14,9,16,62.5,4606,36.2,0.75,0,0,0,0,0,0,0,0,0,
H_SB_CT-125x255x14x14,255,125,14,14,16,62.5,5234,41.1,0.76,0,0,0,0,0,0,0,0,0,
H_SB_CT-149x149x5.5x8,149,149,8,5.5,13,74.5,2040,16,0.596,0,0,0,0,0,0,0,0,0,
H_SB_CT-150x150x6.5x9,150,150,9,6.5,13,75,2339,18.4,0.6,0,0,0,0,0,0,0,0,0,
H_SB_CT-147x200x8x12,200,147,12,8,18,73.5,3619,28.4,0.694,0,0,0,0,0,0,0,0,0,
H_SB_CT-149x201x9x14,201,149,14,9,18,74.5,4168,32.7,0.7,0,0,0,0,0,0,0,0,0,
H_SB_CT-147x302x12x12,302,147,12,12,18,73.5,5383,42.3,0.898,0,0,0,0,0,0,0,0,0,
H_SB_CT-149x299x9x14,299,149,14,9,18,74.5,5540,43.5,0.896,0,0,0,0,0,0,0,0,0,
H_SB_CT-150x300x10x15,300,150,15,10,18,75,5989,47,0.9,0,0,0,0,0,0,0,0,0,
H_SB_CT-150x305x15x15,305,150,15,15,18,75,6739,52.9,0.91,0,0,0,0,0,0,0,0,0,
H_SB_CT-152x301x11x17,301,152,17,11,18,76,6741,52.9,0.906,0,0,0,0,0,0,0,0,0,
H_SB_CT-173x174x6x9,174,173,9,6,14,86.5,2634,20.7,0.694,0,0,0,0,0,0,0,0,0,
H_SB_CT-175x175x7x11,175,175,11,7,14,87.5,3157,24.8,0.7,0,0,0,0,0,0,0,0,0,
H_SB_CT-168x249x8x12,249,168,12,8,20,84,4408,34.6,0.834,0,0,0,0,0,0,0,0,0,
H_SB_CT-170x250x9x14,250,170,14,9,20,85,5076,39.8,0.84,0,0,0,0,0,0,0,0,0,
H_SB_CT-172x348x10x16,348,172,16,10,20,86,7300,57.3,1.04,0,0,0,0,0,0,0,0,0,
H_SB_CT-172x354x16x16,354,172,16,16,20,86,8332,65.4,1.052,0,0,0,0,0,0,0,0,0,
H_SB_CT-175x350x12x19,350,175,19,12,20,87.5,8694,68.2,1.05,0,0,0,0,0,0,0,0,0,
H_SB_CT-175x357x19x19,357,175,19,19,20,87.5,9919,77.9,1.064,0,0,0,0,0,0,0,0,0,
H_SB_CT-169x351x13x13,351,169,13,13,20,84.5,6763,53.1,1.04,0,0,0,0,0,0,0,0,0,
H_SB_CT-198x199x7x11,199,198,11,7,16,99,3608,28.3,0.794,0,0,0,0,0,0,0,0,0,
H_SB_CT-200x200x8x13,200,200,13,8,16,100,4206,33,0.8,0,0,0,0,0,0,0,0,0,
H_SB_CT-193x299x9x14,299,193,14,9,22,96.5,6005,47.1,0.984,0,0,0,0,0,0,0,0,0,
H_SB_CT-195x300x10x16,300,195,16,10,22,97.5,6798,53.4,0.99,0,0,0,0,0,0,0,0,0,
H_SB_CT-194x402x15x15,402,194,15,15,22,97,8923,70,1.192,0,0,0,0,0,0,0,0,0,
H_SB_CT-197x398x11x18,398,197,18,11,22,98.5,9341,73.3,1.19,0,0,0,0,0,0,0,0,0,
H_SB_CT-200x400x13x21,400,200,21,13,22,100,10930,85.8,1.2,0,0,0,0,0,0,0,0,0,
H_SB_CT-200x408x21x21,408,200,21,21,22,100,12530,98.4,1.222,0,0,0,0,0,0,0,0,0,
H_SB_CT-214x407x20x35,407,214,35,20,22,107,18030,142,1.242,0,0,0,0,0,0,0,0,0,
H_SB_CT-229x417x30x50,417,229,50,30,22,114.5,26430,207,1.29,0,0,0,0,0,0,0,0,0,
H_SB_CT-249x432x45x70,432,249,70,45,22,124.5,38500,302,1.362,0,0,0,0,0,0,0,0,0,
H_SB_CT-223x199x8x12,199,223,12,8,18,111.5,4215,33.1,0.844,0,0,0,0,0,0,0,0,0,
H_SB_CT-225x200x9x14,200,225,14,9,18,112.5,4338,38,0.35,0,0,0,0,0,0,0,0,0,
H_SB_CT-217x299x10x15,299,217,15,10,24,108.5,6752,53,1.032,0,0,0,0,0,0,0,0,0,
H_SB_CT-220x300x11x18,300,220,18,11,24,110,7869,61.8,1.04,0,0,0,0,0,0,0,0,0,
H_SB_CT-248x199x9x14,199,248,14,9,20,124,5064,39.7,0.894,0,0,0,0,0,0,0,0,0,
H_SB_CT-250x200x10x16,200,250,16,10,20,125,5712,44.8,0.9,0,0,0,0,0,0,0,0,0,
H_SB_CT-253x201x11x19,201,253,19,11,20,126.5,6565,51.5,0.908,0,0,0,0,0,0,0,0,0,
H_SB_CT-241x300x11x15,300,241,15,11,26,120.5,7276,57.1,1.082,0,0,0,0,0,0,0,0,0,
H_SB_CT-244x300x11x18,300,244,18,11,26,122,8176,64.2,1.088,0,0,0,0,0,0,0,0,0,
H_SB_CT-298x199x10x15,199,298,15,10,22,149,6023,47.3,0.994,0,0,0,0,0,0,0,0,0,
H_SB_CT-300x200x11x17,200,300,17,11,22,150,6721,52.8,1,0,0,0,0,0,0,0,0,0,
H_SB_CT-303x201x12x20,201,303,20,12,22,151.5,7624,59.8,1.01,0,0,0,0,0,0,0,0,0,
H_SB_CT-306x202x13x23,202,306,23,13,22,153,8533,67,1.016,0,0,0,0,0,0,0,0,0,
H_SB_CT-291x300x12x17,300,291,17,12,28,145.5,8724,68,1.182,0,0,0,0,0,0,0,0,0,
H_SB_CT-294x300x12x20,300,294,20,12,28,147,9624,75.6,1.188,0,0,0,0,0,0,0,0,0,
H_SB_CT-297x302x14x23,302,297,23,14,28,148.5,11120,87.3,1.198,0,0,0,0,0,0,0,0,0,
H_SB_CT-346x300x13x20,300,346,20,13,28,173,10570,83,1.292,0,0,0,0,0,0,0,0,0,
H_SB_CT-350x300x13x24,300,350,24,13,28,175,11770,92.4,1.3,0,0,0,0,0,0,0,0,0,
H_SB_CT-354x302x15x28,302,354,28,15,28,177,13680,107,1.312,0,0,0,0,0,0,0,0,0,
H_SB_CT-396x300x14x22,300,396,22,14,28,198,12170,95.6,1.392,0,0,0,0,0,0,0,0,0,
H_SB_CT-400x300x14x26,300,400,26,14,28,200,13370,105,1.4,0,0,0,0,0,0,0,0,0,
H_SB_CT-404x302x16x30,302,404,30,16,28,202,15380,121,1.412,0,0,0,0,0,0,0,0,0,
