,Width##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Structural Material##OTHER##,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Centroid Horizontal##SECTION_PROPERTY##MILLIMETERS,Assembly Code##OTHER##,Ix##OTHER##,Length##LENGTH##MILLIMETERS,Zx##OTHER##,b##LENGTH##MILLIMETERS,h##LENGTH##MILLIMETERS,r##LENGTH##MILLIMETERS,s##LENGTH##MILLIMETERS,t##LENGTH##MILLIMETERS,A##AREA##SQUARE_MILLIMETERS
H_SB_H-100x100x6x8,100.0,6.0,10.0,2821333333.0,40757.0,"Steel, 45-345",2190.0,41200.0,87600.0,0.57,17.2,1340000.0,3830000.0,100.0,8.0,26700.0,76500.0,50.0,50.0,,3830000.0,1524.0,87600.0,100.0,100.0,10.0,6.0,8.0,2190.0
H_SB_H-125x125x6.5x9,125.0,6.5,10.0,9855468750.0,71369.0,"Steel, 45-345",3031.0,71900.0,154000.0,0.72,23.8,2930000.0,8470000.0,125.0,9.0,47000.0,136000.0,62.5,62.5,,8470000.0,1524.0,154000.0,125.0,125.0,10.0,6.5,9.0,3031.0
H_SB_H-150x75x5x7,75.0,5.0,8.0,2516185547.0,23108.0,"Steel, 45-345",1785.0,20800.0,102000.0,0.58,14.0,495000.0,6660000.0,150.0,7.0,13200.0,88800.0,75.0,37.5,,6660000.0,1524.0,102000.0,75.0,150.0,8.0,5.0,7.0,1785.0
H_SB_H-148x100x6x9,100.0,6.0,11.0,7245375000.0,58608.0,"Steel, 45-345",2684.0,46700.0,157000.0,0.67,21.1,1510000.0,10200000.0,148.0,9.0,30100.0,138000.0,74.0,50.0,,10200000.0,1524.0,157000.0,100.0,148.0,11.0,6.0,9.0,2684.0
H_SB_H-150x150x7x10,150.0,7.0,11.0,27562500000.0,116007.0,"Steel, 45-345",4014.0,115000.0,246000.0,0.87,31.5,5630000.0,16400000.0,150.0,10.0,75100.0,219000.0,75.0,75.0,,16400000.0,1524.0,246000.0,150.0,150.0,11.0,7.0,10.0,4014.0
H_SB_H-198x99x4.5x7,99.0,4.5,11.0,10324264364.0,28440.0,"Steel, 45-345",2318.0,35700.0,180000.0,0.76,18.2,1140000.0,15800000.0,198.0,7.0,23000.0,160000.0,99.0,49.5,,15800000.0,1524.0,180000.0,99.0,198.0,11.0,4.5,7.0,2318.0
H_SB_H-200x100x5.5x8,100.0,5.5,11.0,12288000000.0,44781.0,"Steel, 45-345",2716.0,41900.0,209000.0,0.77,21.3,1340000.0,18400000.0,200.0,8.0,26800.0,184000.0,100.0,50.0,,18400000.0,1524.0,209000.0,100.0,200.0,11.0,5.5,8.0,2716.0
H_SB_H-194x150x6x9,150.0,6.0,13.0,43316015625.0,86220.0,"Steel, 45-345",3901.0,104000.0,309000.0,0.95,30.6,5070000.0,26900000.0,194.0,9.0,67600.0,277000.0,97.0,75.0,,26900000.0,1524.0,309000.0,150.0,194.0,13.0,6.0,9.0,3901.0
H_SB_H-200x200x8x12,200.0,8.0,13.0,141000000000.0,262485.0,"Steel, 45-345",6353.0,244000.0,525000.0,1.16,49.9,16000000.0,47200000.0,200.0,12.0,160000.0,472000.0,100.0,100.0,,47200000.0,1524.0,525000.0,200.0,200.0,13.0,8.0,12.0,6353.0
H_SB_H-200x204x12x12,204.0,12.0,13.0,150000000000.0,343296.0,"Steel, 45-345",7153.0,257000.0,565000.0,1.17,56.2,17000000.0,49800000.0,200.0,12.0,167000.0,498000.0,100.0,102.0,,49800000.0,1524.0,565000.0,204.0,200.0,13.0,12.0,12.0,7153.0
