,Structural Material##OTHER##,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Length##LENGTH##MILLIMETERS,b##LENGTH##MILLIMETERS,d##LENGTH##MILLIMETERS,t##LENGTH##MILLIMETERS,x##LENGTH##MILLIMETERS,y##LENGTH##MILLIMETERS,A##AREA##SQUARE_METERS
H_SB_L-25x25x3,"Steel, 45-345",0.1,1.12,1000.0,25.0,25.0,3.0,7.1899999999999995,7.1899999999999995,142.70000000000002
H_SB_L-30x30x3,"Steel, 45-345",0.18,1.36,1000.0,30.0,30.0,3.0,8.44,8.44,172.70000000000002
H_SB_L-40x40x5,"Steel, 45-345",0.16,2.95,1000.0,40.0,40.0,5.0,11.7,11.7,375.5
H_SB_L-45x45x4,"Steel, 45-345",0.18,2.74,1000.0,45.0,45.0,4.0,12.4,12.4,349.2
H_SB_L-50x50x4,"Steel, 45-345",0.2,3.06,1000.0,50.0,50.0,4.0,13.700000000000001,13.700000000000001,389.2
H_SB_L-50x50x5,"Steel, 45-345",0.2,3.77,1000.0,50.0,50.0,5.0,14.1,14.1,408.2
H_SB_L-50x50x6,"Steel, 45-345",0.2,4.43,1000.0,50.0,50.0,6.0,14.399999999999999,14.399999999999999,564.4
H_SB_L-60x60x4,"Steel, 45-345",0.24,3.68,1000.0,60.0,60.0,4.0,16.1,16.1,469.20000000000005
H_SB_L-60x60x5,"Steel, 45-345",0.24,4.55,1000.0,60.0,60.0,5.0,16.599999999999998,16.599999999999998,580.1999999999999
H_SB_L-60x60x6,"Steel, 45-345",0.24,5.37,1000.0,60.0,60.0,6.0,16.9,16.9,684.4
H_SB_L-65x65x5,"Steel, 45-345",0.26,5.0,1000.0,65.0,65.0,5.0,17.7,17.7,636.7
H_SB_L-65x65x6,"Steel, 45-345",0.26,5.91,1000.0,65.0,65.0,6.0,18.1,18.1,752.7
H_SB_L-65x65x8,"Steel, 45-345",0.26,7.66,1000.0,65.0,65.0,8.0,18.799999999999997,18.799999999999997,976.0999999999999
H_SB_L-70x70x6,"Steel, 45-345",0.28,6.38,1000.0,70.0,70.0,6.0,19.3,19.3,812.7
H_SB_L-75x75x6,"Steel, 45-345",0.3,6.85,1000.0,75.0,75.0,6.0,20.6,20.6,872.7
H_SB_L-75x75x9,"Steel, 45-345",0.3,9.96,1000.0,75.0,75.0,9.0,21.7,21.7,1269.0
H_SB_L-75x75x12,"Steel, 45-345",0.3,13.0,1000.0,75.0,75.0,12.0,22.9,22.9,1655.9999999999998
H_SB_L-80x80x6,"Steel, 45-345",0.32,7.32,1000.0,80.0,80.0,6.0,21.8,21.8,932.7
H_SB_L-80x80x7,"Steel, 45-345",0.32,8.48,1000.0,80.0,80.0,7.0,22.3,22.3,1079.7
H_SB_L-90x90x6,"Steel, 45-345",0.36,8.28,1000.0,90.0,90.0,6.0,24.2,24.2,1055.0
H_SB_L-90x90x7,"Steel, 45-345",0.36,9.59,1000.0,90.0,90.0,7.0,24.6,24.6,1222.0
