,Structural Material##OTHER##,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Length##LENGTH##MILLIMETERS,b##LENGTH##MILLIMETERS,h##LENGTH##MILLIMETERS,tr##LENGTH##MILLIMETERS,t##LENGTH##MILLIMETERS,A##AREA##SQUARE_METERS
H_SB_SHS-20x20x1.2,"Steel, 45-345",0.08,0.697,1000.0,20.0,20.0,1.2,1.2,0.865
H_SB_SHS-20x20x1.6,"Steel, 45-345",0.08,0.872,1000.0,20.0,20.0,1.6,1.6,1.123
H_SB_SHS-25x25x1.2,"Steel, 45-345",0.1,0.867,1000.0,25.0,25.0,1.2,1.2,1.105
H_SB_SHS-25x25x1.6,"Steel, 45-345",0.1,1.12,1000.0,25.0,25.0,1.6,1.6,1.432
H_SB_SHS-30x30x1.2,"Steel, 45-345",0.12,1.06,1000.0,30.0,30.0,1.2,1.2,1.345
H_SB_SHS-30x30x1.6,"Steel, 45-345",0.12,1.38,1000.0,30.0,30.0,1.6,1.6,1.752
H_SB_SHS-40x40x1.6,"Steel, 45-345",0.16,1.88,1000.0,40.0,40.0,1.6,1.6,2.392
H_SB_SHS-40x40x2.3,"Steel, 45-345",0.16,2.62,1000.0,40.0,40.0,2.3,2.3,3.332
H_SB_SHS-50x50x1.6,"Steel, 45-345",0.2,2.38,1000.0,50.0,50.0,1.6,1.6,3.032
H_SB_SHS-50x50x2.3,"Steel, 45-345",0.2,3.34,1000.0,50.0,50.0,2.3,2.3,4.252
H_SB_SHS-50x50x3.2,"Steel, 45-345",0.2,4.5,1000.0,50.0,50.0,3.2,3.2,5.572
H_SB_SHS-60x60x1.6,"Steel, 45-345",0.24,2.88,1000.0,60.0,60.0,1.6,1.6,3.672
H_SB_SHS-60x60x2.3,"Steel, 45-345",0.24,4.06,1000.0,60.0,60.0,2.3,2.3,5.172
H_SB_SHS-60x60x3.2,"Steel, 45-345",0.24,5.5,1000.0,60.0,60.0,3.2,3.2,7.007
H_SB_SHS-75x75x1.6,"Steel, 45-345",0.3,3.64,1000.0,75.0,75.0,1.6,1.6,4.632
H_SB_SHS-75x75x2.3,"Steel, 45-345",0.3,5.14,1000.0,75.0,75.0,2.3,2.3,6.552
H_SB_SHS-75x75x3.2,"Steel, 45-345",0.3,7.01,1000.0,75.0,75.0,3.2,3.2,8.927
H_SB_SHS-75x75x4.5,"Steel, 45-345",0.3,9.55,1000.0,75.0,75.0,4.5,4.5,12.17
H_SB_SHS-80x80x2.3,"Steel, 45-345",0.32,5.5,1000.0,80.0,80.0,2.3,2.3,7.102
H_SB_SHS-80x80x3.2,"Steel, 45-345",0.32,7.51,1000.0,80.0,80.0,3.2,3.2,9.567
H_SB_SHS-80x80x4.5,"Steel, 45-345",0.32,10.3,1000.0,80.0,80.0,4.5,4.5,13.07
H_SB_SHS-90x90x2.3,"Steel, 45-345",0.36,6.23,1000.0,90.0,90.0,2.3,2.3,7.932
H_SB_SHS-90x90x3.2,"Steel, 45-345",0.36,8.51,1000.0,90.0,90.0,3.2,3.2,10.85
H_SB_SHS-100x100x2.3,"Steel, 45-345",0.4,6.95,1000.0,100.0,100.0,2.3,2.3,8.852
H_SB_SHS-100x100x3.2,"Steel, 45-345",0.4,9.52,1000.0,100.0,100.0,3.2,3.2,12.13
H_SB_SHS-100x100x4,"Steel, 45-345",0.4,11.7,1000.0,100.0,100.0,4.0,4.0,14.92
H_SB_SHS-100x100x4.5,"Steel, 45-345",0.4,13.1,1000.0,100.0,100.0,4.5,4.5,16.67
H_SB_SHS-100x100x6,"Steel, 45-345",0.4,17.0,1000.0,100.0,100.0,6.0,6.0,21.63
H_SB_SHS-100x100x9,"Steel, 45-345",0.4,24.1,1000.0,100.0,100.0,9.0,9.0,30.0
H_SB_SHS-100x100x12,"Steel, 45-345",0.4,30.2,1000.0,100.0,100.0,12.0,12.0,67.0
H_SB_SHS-125x125x3.2,"Steel, 45-345",0.5,12.0,1000.0,125.0,125.0,3.2,3.2,38.53
H_SB_SHS-125x125x4.5,"Steel, 45-345",0.5,16.6,1000.0,125.0,125.0,4.5,4.5,15.33
H_SB_SHS-125x125x5,"Steel, 45-345",0.5,18.3,1000.0,125.0,125.0,5.0,5.0,21.17
