,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SB_CT-50x100x6x8,100.0,50.0,8.0,6.0,10.0,25.0,1095.0,8.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-62.5x125x6.5x9,125.0,62.5,9.0,6.5,10.0,31.25,1516.0,11.9,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-75x75x5x7,75.0,75.0,7.0,5.0,8.0,37.5,892.5,7.01,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-75x100x6x9,100.0,75.0,9.0,6.0,11.0,37.5,1342.0,10.5,0.348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-75x150x7x10,150.0,75.0,10.0,7.0,11.0,37.5,2007.0,15.8,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-100x100x5.5x8,100.0,100.0,8.0,5.5,11.0,50.0,1358.0,10.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-97x150x6x9,150.0,97.0,9.0,6.0,13.0,48.5,1951.0,15.3,0.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-100x200x8x12,200.0,100.0,12.0,8.0,13.0,50.0,3177.0,24.9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-100x204x12x12,204.0,100.0,12.0,12.0,13.0,50.0,3577.0,28.1,0.606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-104x202x10x16,202.0,104.0,16.0,10.0,13.0,52.0,4185.0,32.8,0.612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
