,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SB_WT550x249.5,404.0,559.0,45.0,26.2,20.0,419.0,31700.0,250.0,903000000.0,250000000.0,2150000.0,1230000.0,3830000.0,1930000.0,15500000.0,118000000000.0,139.7,WT22X167.5
H_SB_WT550x216.5,401.0,554.0,40.1,22.0,19.8,420.0,27500.0,216.0,762000000.0,217000000.0,1820000.0,1080000.0,3210000.0,1670000.0,10600000.0,73800000000.0,139.7,WT22X145
H_SB_WT550x195,401.0,551.0,36.1,19.9,19.8,419.0,24800.0,195.0,683000000.0,192000000.0,1630000.0,960000.0,2880000.0,1490000.0,7740000.0,53700000000.0,139.7,WT22X131
H_SB_WT550x171.5,401.0,546.0,31.0,18.0,20.1,415.0,21900.0,172.0,599000000.0,166000000.0,1450000.0,828000.0,2570000.0,1280000.0,5160000.0,37300000000.0,139.7,WT22X115
H_SB_WT500x441.5,424.0,546.0,82.0,45.5,30.0,402.0,56300.0,442.0,1380000000.0,524000000.0,3420000.0,2470000.0,6210000.0,3930000.0,92000000.0,628000000000.0,190.5,WT20X296.5
H_SB_WT500x374,417.0,533.0,70.1,39.1,29.9,396.0,47700.0,374.0,1140000000.0,425000000.0,2850000.0,2030000.0,5150000.0,3230000.0,57400000.0,376000000000.0,190.5,WT20X251.5
H_SB_WT500x321,411.0,523.0,59.9,34.0,30.0,391.0,40800.0,321.0,953000000.0,351000000.0,2430000.0,1700000.0,4360000.0,2690000.0,36700000.0,237000000000.0,190.5,WT20X215.5
H_SB_WT500x295.5,409.0,521.0,55.9,31.0,30.0,393.0,37600.0,296.0,862000000.0,321000000.0,2200000.0,1570000.0,3930000.0,2460000.0,29400000.0,182000000000.0,190.5,WT20X198.5
H_SB_WT500x277,409.0,516.0,52.1,29.5,29.9,390.0,35300.0,277.0,803000000.0,295000000.0,2060000.0,1450000.0,3690000.0,2260000.0,24000000.0,150000000000.0,190.5,WT20X186
H_SB_WT500x269.5,406.0,516.0,51.1,28.4,29.9,391.0,34300.0,270.0,778000000.0,288000000.0,2000000.0,1410000.0,3560000.0,2210000.0,22600000.0,137000000000.0,190.5,WT20X181
H_SB_WT500x241.5,404.0,511.0,46.0,25.4,29.9,390.0,30800.0,242.0,687000000.0,253000000.0,1770000.0,1260000.0,3150000.0,1950000.0,16500000.0,97200000000.0,190.5,WT20X162
H_SB_WT500x221.5,401.0,505.0,41.9,23.6,30.0,385.0,28100.0,222.0,624000000.0,227000000.0,1620000.0,1130000.0,2880000.0,1750000.0,12700000.0,74900000000.0,190.5,WT20X148.5
H_SB_WT500x206,401.0,503.0,40.1,21.1,30.0,389.0,26300.0,206.0,566000000.0,217000000.0,1450000.0,1080000.0,2570000.0,1670000.0,10700000.0,58500000000.0,190.5,WT20X138.5
H_SB_WT500x185.5,401.0,500.0,36.1,19.1,29.9,388.0,23700.0,186.0,504000000.0,193000000.0,1300000.0,964000.0,2290000.0,1490000.0,7910000.0,42400000000.0,190.5,WT20X124.5
H_SB_WT500x160.5,401.0,495.0,31.0,16.5,30.0,386.0,20500.0,160.0,429000000.0,166000000.0,1110000.0,828000.0,1970000.0,1270000.0,5160000.0,27100000000.0,190.5,WT20X107.5
H_SB_WT500x148,401.0,490.0,27.2,16.5,30.0,376.0,18800.0,148.0,411000000.0,144000000.0,1090000.0,723000.0,1920000.0,1120000.0,3800000.0,22400000000.0,190.5,WT20X99.5
H_SB_WT500x292,315.0,528.0,64.0,36.1,30.0,377.0,37300.0,292.0,945000000.0,167000000.0,2510000.0,1060000.0,4510000.0,1740000.0,35500000.0,214000000000.0,190.5,WT20X196
H_SB_WT500x247,310.0,518.0,54.1,31.0,30.0,372.0,31500.0,247.0,783000000.0,134000000.0,2100000.0,867000.0,3790000.0,1400000.0,21900000.0,130000000000.0,190.5,WT20X165.5
H_SB_WT500x243,307.0,518.0,54.1,30.0,30.0,374.0,30900.0,243.0,766000000.0,133000000.0,2050000.0,864000.0,3670000.0,1390000.0,21400000.0,121000000000.0,190.5,WT20X163.5
