Master Status of Authors Supervision Card (AR),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Discipline,ASC No.,Revision,Unit,Building/ Item name,Part of Object,"Title
(Brief description)",Prochem/ Projomos,,,Licensor Engineer Signature,,,Owner,,,,,"Owner
Signature",REMARK,,
,,,,,,,Submitted Date,Received Date,Duration,Submitted Date,Received Date,Duration,Email No.(HEC),Submitted Date,Email No.(Owner),Received Date,Duration,,,,Reply status
열1,열2,열3,열4,열5,열6,열7,열8,열9,열10,열11,열12,열13,열14,열15,열16,열17,열18,열19,열20,열21,열22
AR,HEC-PRCH-AR-0023,0.0,Gen,Bitumen paint,-,,Sent,Received,-,,,,00-HEC-PDHP-E-0557,2020-07-03 00:00:00,02-PDHP-HEC-E-1459,2021-11-03 00:00:00,488.0,O,,,APV
AR,HEC-PRCH-AR-0014,1.0,AUX3,Remote Instrument Building(RIB-11),Foundation,,2020.06.29,2020.06.30,-,,,,00-HEC-PDHP-E-0567,2020-07-09 00:00:00,04-PDHP-HEC-E-0216,2020-12-01 00:00:00,145.0,O,,,
AR,HEC-PRCH-AR-0012,1.0,PP,GPVI substation,"Foundation
Ground floor plan ",,2020.08.05_수정본 제출,"2020.08.24_prochem 승인
2020.09.16_stamped KNA 접수",-,,,,00-HEC-PDHP-E-0671,2020-08-27 00:00:00,02-PDHP-HEC-E-0620,2020-10-07 00:00:00,41.0,,,,
AR,HEC-PRCH-AR-0012,1.0,PP,,"Foundation
Ground floor plan ",,-,-,-,,,,00-HEC-PDHP-E-0844,2020-10-09 00:00:00,02-PDHP-HEC-E-0640,2020-10-14 00:00:00,5.0,O,,,W/ Comment by PMC)
AR,HEC-PRCH-AR-0020,0.0,AUX2,Fire water pump building,"Foundation
Ground floor plan ",,2020.08.05_수정본 제출,"2020.08.19_prochem 승인
2020.09.16_stamped KNA 접수",-,,,,00-HEC-PDHP-E-0672,2020-08-27 00:00:00,04-PDHP-HEC-E-0187,2020-10-13 00:00:00,47.0,O,,,W/ Comment (by PMC)
AR,HEC-PRCH-AR-0021,0.0,PP,CYC gas compressor shelter-1,"Pile
Foundaiton
Ground floor",,2020.09.04,2020.09.16,-,,,,00-HEC-PDHP-E-0734,2020-09-17 00:00:00,02-PDHP-HEC-E-0592,2020-09-25 00:00:00,8.0,O,,,Approval
AR,HEC-PRCH-AR-0022,0.0,PP,CYC gas compressor shelter-2,"Pile
Foundaiton
Ground floor",,2020.09.04,2020.09.16,-,,,,00-HEC-PDHP-E-0735,2020-09-17 00:00:00,02-PDHP-HEC-E-0591,2020-09-25 00:00:00,8.0,O,,,Approval
AR,HEC-PRCH-AR-0024,0.0,PDH,Tail gas compressor shelter,Foundation,,2020.08.05_수정본 제출,"2020.08.19_prochem 승인
2020.09.16_stamped KNA 접수",-,,,,00-HEC-PDHP-E-0673,2020-08-27 00:00:00,01-PDHP-HEC-E-0240,2020-09-23 00:00:00,27.0,O,,,W/ Comment
AR,HEC-PRCH-AR-0024,1.0,PDH,-,Foundation,,2020.09.23,2020.09.24,-,,,,00-HEC-PDHP-E-0764,2020-09-24 00:00:00,01-PDHP-HEC-E-0272,2020-09-12 00:00:00,,O,Updated is required as per agreed procedure,,W/ Comment
AR,HEC-PRCH-AR-0024,1.0,PDH,-,Foundation,,-,-,-,,,,-,-,04-PDHP-HEC-E-0187,2020-10-13 00:00:00,-,,,,W/ Comment (by PMC)
AR,HEC-PRCH-AR-0025,0.0,AUX2,Phosphate injection & BFW package shelter,"Foundation
Equipment foundation
Trench",,2020-08-05_수정본 제출,"2020.08.24_prochem 승인
2020.09.16_stamped KNA 접수",-,,,,00-HEC-PDHP-E-0674,2020-08-27 00:00:00,04-PDHP-HEC-E-0187,2020-10-13 00:00:00,47.0,O,,,W/ Comment (by PMC)
AR,HEC-PRCH-AR-0026,0.0,PP,T2 shelter,RC Part,,2020-08-05_수정본 제출,"2020.08.24_prochem 승인
2020.09.16_stamped KNA 접수",-,,,,00-HEC-PDHP-E-0675,2020-08-27 00:00:00,02-PDHP-HEC-E-0588,2020-09-25 00:00:00,29.0,-,New version which is made like card for Prochem,,W/ Comment
AR,HEC-PRCH-AR-0026,0.0,PP,-,RC Part,,-,-,-,,,,00-HEC-PDHP-E-0790,2020-09-29 00:00:00,02-PDHP-HEC-E-0605,2020-09-30 00:00:00,1.0,O,Licensed Designer Stamp and Signature were already done,,Approval
AR,HEC-PRCH-AR-0027,0.0,PP,Vent recovery shelter,"Pile
Foundation",,2020-08-05_수정본 제출,"2020.08.24_prochem 승인
2020.09.16_stamped KNA 접수",-,,,,00-HEC-PDHP-E-0676,2020-08-27 00:00:00,02-PDHP-HEC-E-0587,2020-09-25 00:00:00,29.0,-,New version which is made like card for Prochem,,W/ Comment
AR,HEC-PRCH-AR-0027,1.0,PP,-,"Pile
Foundation",,2020-09-29 00:00:00,2020.10.06,-,,,,00-HEC-PDHP-E-0821,2020-10-07 00:00:00,02-PDHP-HEC-E-0628,2020-10-09 00:00:00,2.0,O,Updated is required as per agreed procedure,,W/ Comment
AR,HEC-PRCH-AR-0027,1.0,PP,-,"Pile
Foundation",,-,-,-,,,,-,-,02-PDHP-HEC-E-0645,2020-10-15 00:00:00,-,,Withdraw,,W/ Comment
AR,HEC-PRCH-AR-0028,0.0,PP,Pelletizing building,Foundation,,2020-08-08 00:00:00,"2020.08.25_prochem 승인
2020.09.16_stamped KNA 접수",-,,,,00-HEC-PDHP-E-0677,2020-08-27 00:00:00,02-PDHP-HEC-E-0586,2020-09-25 00:00:00,29.0,-,Updated is required as per agreed procedure,,W/ Comment
AR,HEC-PRCH-AR-0028,0.0,PP,-,,,-,-,-,,,,00-HEC-PDHP-E-0791,2020-09-29 00:00:00,02-PDHP-HEC-E-0606,2020-09-30 00:00:00,1.0,O,"Related to Payment Milestone
Card B 와 progress document/ Projmors 회신 완료

05-PDHP-HEC-E-0222 / Comment 접수/ 서명 도서는 비공식 email로 접수 됨",,Approval
AR,HEC-PRCH-AR-0029,0.0,AUX1,Dosing package shelter,"Foundation
Ground floor plan ",,2020-08-05_수정본 제출,"2020.08.19_prochem 승인
2020.09.16_stamped KNA 접수",-,,,,00-HEC-PDHP-E-0678,2020-08-27 00:00:00,04-PDHP-HEC-E-0187,2020-10-13 00:00:00,47.0,O,,,W/ Comment (by PMC)
AR,HEC-PRCH-AR-0030,0.0,AUX1,Spent caustic treatment package shelter,Foundation,,2020-08-05_수정본 제출,"2020.08.19_prochem 승인
2020.09.16_stamped KNA 접수",-,,,,00-HEC-PDHP-E-0679,2020-08-27 00:00:00,04-PDHP-HEC-E-0187,2020-10-13 00:00:00,47.0,O,0002와 2nb BP에 들어간 도면이 다른 경우 해당 도면들에 대해  Supervision card   작성 ,,W/ Comment (by PMC)
AR,HEC-PRCH-AR-0031,0.0,AUX3,WWT building,"Foundation
Ground Floor",,2020-08-05_수정본 제출,"2020.08.24_prochem 승인
2020.09.16_stamped KNA 접수",-,,,,00-HEC-PDHP-E-0680,2020-08-27 00:00:00,04-PDHP-HEC-E-0187,2020-10-13 00:00:00,47.0,O,AWC 접수하였으므로 REVISION 하지 않을 예정,,W/ Comment (by PMC)
AR,HEC-PRCH-AR-0032,0.0,AUX3,Peroxide warehouse,"Foundation
Ground Floor
Concrete Wall",,2020-08-05_수정본 제출,"2020.08.19_prochem 승인
2020.09.16_stamped KNA 접수",-,,,,00-HEC-PDHP-E-0681,2020-08-27 00:00:00,04-PDHP-HEC-E-0187,2020-10-13 00:00:00,47.0,O,,,W/ Comment (by PMC)
AR,HEC-PRCH-AR-0032,1.0,AUX3,,RC Part,,2021-07-01 00:00:00,2021-07-01 00:00:00,,,,,00-HEC-PDHP-E-1947,2021-07-07 00:00:00,,,,,,,
AR,HEC-PRCH-AR-0034,0.0,PP,Bitumen coating_Pelletizing building,Foundation only,,2020-08-19 00:00:00,"2020.08.27_prochem 승인
2020.09.24_stamped KNA 접수",-,,,,00-HEC-PDHP-E-0690,2020-09-01 00:00:00,02-PDHP-HEC-E-0589,2020-09-25 00:00:00,24.0,-,"2021/08/24, 발주처/FE 협의에 따라 2nd BP 완료 후 ASC 수정/제출 예정",,W/ Comment
AR,HEC-PRCH-AR-0034,0.0,PP,-,,,-,-,-,,,,00-HEC-PDHP-E-0792,2020-09-29 00:00:00,,,,O,,,
AR,HEC-PRCH-AR-0033,0.0,PP,Chemicals warehouse,"RC Part
Steel Part",,2020-08-28 00:00:00,2020-09-15 00:00:00,18.0,,,,00-HEC-PDHP-E-0730,2020-09-17 00:00:00,02-PDHP-HEC-E-0622,2020-10-07 00:00:00,20.0,O,,,AWC
AR,HEC-PRCH-AR-0035,0.0,PP,PP unit substation,"RC Part
Steel Part",,2020-08-28 00:00:00,2020-09-15 00:00:00,18.0,,,,00-HEC-PDHP-E-0724,2020-09-16 00:00:00,02-PDHP-HEC-E-0621,2020-10-07 00:00:00,21.0,O,,,AWC
AR,HEC-PRCH-AR-0036,0.0,AUX3,Main substation,"Foundation
Ground floor
1st floor
Framing elevation",,2020-08-28 00:00:00,2020-09-15 00:00:00,18.0,,,,00-HEC-PDHP-E-0725,2020-09-22 00:00:00,04-PDHP-HEC-E-0216,2020-12-01 00:00:00,70.0,O,,,AWC
AR,HEC-PRCH-AR-0037,0.0,AUX2,Utility substation,"Foundation
Ground floor
1st floor
Framing elevation",,2020-08-28 00:00:00,2020-09-15 00:00:00,18.0,,,,00-HEC-PDHP-E-0723,2020-09-16 00:00:00,04-PDHP-HEC-E-0251,2021-02-01 00:00:00,138.0,O,,,Rejected
AR,HEC-PRCH-AR-0038,0.0,AUX2,Raw water Treatment shelter,"Foundation
Equipment foundation
Ground Floor",,2020-09-09 00:00:00,2020-09-16 00:00:00,7.0,,,,00-HEC-PDHP-E-0737,2020-09-17 00:00:00,04-PDHP-HEC-E-0187,2020-10-13 00:00:00,26.0,-,,,W/ Comment (by PMC)
AR,HEC-PRCH-AR-0039,0.0,PDH,Heat pump compressor shelter,RC Part,,2020-09-09 00:00:00,2020-09-16 00:00:00,7.0,,,,00-HEC-PDHP-E-0733,2020-09-17 00:00:00,01-PDHP-HEC-E-0257,2020-10-12 00:00:00,25.0,O,,,W/ Comment
AR,HEC-PRCH-AR-0040,0.0,AUX2,Demineralization package shelter,"Foundation
Equipment foundation
Ground Floor",,2020-09-09 00:00:00,2020-09-25 00:00:00,16.0,,,,00-HEC-PDHP-E-0842,2020-10-08 00:00:00,04-PDHP-HEC-E-0216,2020-12-01 00:00:00,54.0,O,,,AWC
AR,HEC-PRCH-AR-0041,0.0,PDH,Phosphate Injection Package Shelter(200-SHT-CC-700),RC Part,,2020-09-16 00:00:00,2020-09-25 00:00:00,9.0,,,,00-HEC-PDHP-E-0837,2020-10-08 00:00:00,01-PDHP-HEC-E-0279,2020-10-19 00:00:00,11.0,,,,Rejected
AR,HEC-PRCH-AR-0041,1.0,PDH,,RC Part,,2020-10-20 00:00:00,2020-10-21 00:00:00,1.0,,,,00-HEC-PDHP-E-0879,2020-10-21 00:00:00,01-PDHP-HEC-E-0295,2020-10-27 00:00:00,6.0,O,,,W/ Comment
