,H_SectionID##SECTION_PROPERTY##TEXT,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS
H_SC_AR_S01_HE 100 AA,HE 100 AA,100.0,91.0,5.5,5.5,12.0,15.6,12.2,0.553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 100 A,HE 100 A,100.0,96.0,8.0,8.0,12.0,21.24,16.7,0.561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 100 B,HE 100 B,100.0,100.0,10.0,10.0,12.0,26.04,20.4,0.567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 100 M,HE 100 M,106.0,120.0,20.0,20.0,12.0,53.24,41.8,0.619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 120 AA,HE 120 AA,120.0,109.0,5.5,5.5,12.0,18.55,14.6,0.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 120 A,HE 120 A,120.0,114.0,8.0,8.0,12.0,25.34,19.9,0.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 120 B,HE 120 B,120.0,120.0,11.0,11.0,12.0,34.01,26.7,0.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 120 M,HE 120 M,126.0,140.0,21.0,21.0,12.0,66.41,52.1,0.738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 140 AA,HE 140 AA,140.0,128.0,6.0,6.0,12.0,23.02,18.1,0.787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 140 A,HE 140 A,140.0,133.0,8.5,8.5,12.0,31.42,24.7,0.794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
