,H_SectionID##SECTION_PROPERTY##TEXT,Width##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Structural Material##OTHER##,Section Name Key##OTHER##,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Centroid Horizontal##SECTION_PROPERTY##MILLIMETERS,Assembly Code##OTHER##
H_SC_AR_S01_H-100x100x6x8,H-100x100x6x8,100.0,6.0,10.0,2821333333.3333335,40757.333333333336,"Steel, 45-345",,2190.0,41200.0,87600.0,0.571,17.2,1340000.0,3830000.0,100.0,8.0,26700.0,76500.0,50.0,50.0,
H_SC_AR_S01_H-125x125x6.5x9,H-125x125x6.5x9,125.0,6.5,10.0,9855468750.0,71368.83333333333,"Steel, 45-345",,3031.0,71900.0,154000.0,0.72,23.8,2930000.0,8470000.0,125.0,9.0,47000.0,136000.0,62.5,62.5,
H_SC_AR_S01_H-150x75x5x7,H-150x75x5x7,75.0,5.0,8.0,2516185546.875,23108.333333333332,"Steel, 45-345",,1785.0000000000002,20800.0,102000.0,0.577,14.0,495000.0,6660000.0,150.0,7.0,13200.0,88800.0,75.0,37.5,
H_SC_AR_S01_H-148x100x6x9,H-148x100x6x9,100.0,6.0,11.0,7245375000.0,58608.0,"Steel, 45-345",,2684.0,46700.0,157000.0,0.666,21.1,1510000.0,10200000.0,148.0,9.0,30100.0,138000.0,74.0,50.0,
H_SC_AR_S01_H-150x150x7x10,H-150x150x7x10,150.0,7.0,11.0,27562500000.0,116006.66666666667,"Steel, 45-345",,4014.0,115000.0,246000.0,0.868,31.5,5630000.0,16400000.0,150.0,10.0,75100.0,219000.0,75.0,75.0,
H_SC_AR_S01_H-198x99x4.5x7,H-198x99x4.5x7,99.0,4.5,11.0,10324264363.875,28439.625,"Steel, 45-345",,2318.0,35700.0,180000.0,0.7641150383789754,18.2,1140000.0,15800000.0,198.0,7.0,23000.0,160000.0,99.0,49.5,
H_SC_AR_S01_H-200x100x5.5x8,H-200x100x5.5x8,100.0,5.5,11.0,12288000000.0,44781.333333333336,"Steel, 45-345",,2716.0,41900.0,209000.0,0.771,21.3,1340000.0,18400000.0,200.0,8.0,26800.0,184000.0,100.0,50.0,
H_SC_AR_S01_H-194x150x6x9,H-194x150x6x9,150.0,6.0,13.0,43316015625.0,86220.0,"Steel, 45-345",,3901.0,104000.0,309000.0,0.954,30.6,5070000.0,26900000.0,194.0,9.0,67600.0,277000.0,97.0,75.0,
H_SC_AR_S01_H-200x200x8x12,H-200x200x8x12,200.0,8.0,13.0,141376000000.0,262485.3333333333,"Steel, 45-345",,6353.0,244000.0,525000.0,1.162,49.9,16000000.0,47200000.0,200.0,12.0,160000.0,472000.0,100.0,100.0,
H_SC_AR_S01_H-200x204x12x12,H-200x204x12x12,204.0,12.0,13.0,150029342208.0,343296.0,"Steel, 45-345",,7153.0,257000.0,565000.0,1.17,56.2,17000000.0,49800000.0,200.0,12.0,167000.0,498000.0,100.0,102.0,
