,H_SectionID##SECTION_PROPERTY##TEXT,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SC_AR_S01_W1100x499,W1100x499,404.0,1120.0,45.0,26.2,20.0,63500.0,499.0,3.76,12900000000.0,499000000.0,23100000.0,2460000.0,26500000.0,3870000.0,31100000.0,144000000000000.0,0.0,W44x335
H_SC_AR_S01_W1100x433,W1100x433,401.0,1110.0,40.1,22.0,19.8,55100.0,433.0,3.73,11200000000.0,433000000.0,20300000.0,2160000.0,23100000.0,3360000.0,21200000.0,124000000000000.0,0.0,W44x290
H_SC_AR_S01_W1100x390,W1100x390,401.0,1100.0,36.1,19.9,19.8,49800.0,390.0,3.73,10000000000.0,384000000.0,18200000.0,1920000.0,20800000.0,2980000.0,15500000.0,109000000000000.0,0.0,W44x262
H_SC_AR_S01_W1100x343,W1100x343,401.0,1090.0,31.0,18.0,20.1,43700.0,343.0,3.71,8660000000.0,331000000.0,15900000.0,1660000.0,18000000.0,2570000.0,10400000.0,92900000000000.0,0.0,W44x230
H_SC_AR_S01_W1000x883,W1000x883,424.0,1090.0,82.0,45.5,30.0,112000.0,883.0,3.73,21000000000.0,1050000000.0,38300000.0,4950000.0,45200000.0,7880000.0,185000000.0,268000000000000.0,0.0,W40x593
H_SC_AR_S01_W1000x748,W1000x748,417.0,1070.0,70.1,39.1,29.9,95500.0,748.0,3.68,17300000000.0,849000000.0,32400000.0,4080000.0,38000000.0,6460000.0,115000000.0,212000000000000.0,0.0,W40x503
H_SC_AR_S01_W1000x642,W1000x642,411.0,1050.0,59.9,34.0,30.0,81900.0,642.0,3.63,14500000000.0,703000000.0,27700000.0,3410000.0,32100000.0,5370000.0,73700000.0,171000000000000.0,0.0,W40x431
H_SC_AR_S01_W1000x591,W1000x591,409.0,1040.0,55.9,31.0,30.0,75500.0,591.0,3.61,13300000000.0,641000000.0,25600000.0,3130000.0,29500000.0,4920000.0,59100000.0,155000000000000.0,0.0,W40x397
H_SC_AR_S01_W1000x554,W1000x554,409.0,1030.0,52.1,29.5,29.9,71000.0,554.0,3.58,12300000000.0,591000000.0,23900000.0,2900000.0,27500000.0,4540000.0,48300000.0,142000000000000.0,0.0,W40x372
H_SC_AR_S01_W1000x539,W1000x539,406.0,1030.0,51.1,28.4,29.9,68400.0,539.0,3.58,12000000000.0,574000000.0,23300000.0,2830000.0,26900000.0,4420000.0,45400000.0,138000000000000.0,0.0,W40x362
H_SC_AR_S01_W1000x483,W1000x483,404.0,1020.0,46.0,25.4,29.9,61500.0,483.0,3.56,10700000000.0,508000000.0,21000000.0,2510000.0,23900000.0,3920000.0,33000000.0,120000000000000.0,0.0,W40x324
H_SC_AR_S01_W1000x443,W1000x443,401.0,1010.0,41.9,23.6,30.0,56300.0,443.0,3.53,9660000000.0,454000000.0,19200000.0,2260000.0,21800000.0,3520000.0,25500000.0,107000000000000.0,0.0,W40x297
H_SC_AR_S01_W1000x412,W1000x412,401.0,1010.0,40.1,21.1,30.0,52600.0,412.0,3.53,9120000000.0,433000000.0,18000000.0,2160000.0,20500000.0,3340000.0,21400000.0,102000000000000.0,0.0,W40x277
H_SC_AR_S01_W1000x371,W1000x371,401.0,1000.0,36.1,19.1,29.9,47400.0,371.0,3.51,8160000000.0,385000000.0,16300000.0,1930000.0,18400000.0,2980000.0,15900000.0,89700000000000.0,0.0,W40x249
H_SC_AR_S01_W1000x321,W1000x321,401.0,991.0,31.0,16.5,30.0,41000.0,321.0,3.51,6950000000.0,334000000.0,14100000.0,1660000.0,15800000.0,2560000.0,10300000.0,76300000000000.0,0.0,W40x215
H_SC_AR_S01_W1000x296,W1000x296,401.0,983.0,27.2,16.5,30.0,37900.0,296.0,3.48,6200000000.0,289000000.0,12600000.0,1450000.0,14200000.0,2250000.0,7620000.0,66100000000000.0,0.0,W40x199
H_SC_AR_S01_W1000x584,W1000x584,315.0,1060.0,64.0,36.1,30.0,74800.0,584.0,3.25,12400000000.0,334000000.0,23600000.0,2130000.0,28000000.0,3470000.0,71600000.0,82200000000000.0,0.0,W40x392
H_SC_AR_S01_W1000x494,W1000x494,310.0,1040.0,54.1,31.0,30.0,63000.0,494.0,3.2,10300000000.0,268000000.0,19800000.0,1740000.0,23400000.0,2820000.0,43700000.0,64700000000000.0,0.0,W40x331
H_SC_AR_S01_W1000x486,W1000x486,307.0,1040.0,54.1,30.0,30.0,61900.0,486.0,3.2,10200000000.0,266000000.0,19700000.0,1720000.0,23100000.0,2790000.0,42900000.0,64200000000000.0,0.0,W40x327
H_SC_AR_S01_W1000x438,W1000x438,305.0,1030.0,49.0,26.9,30.0,55600.0,438.0,3.18,9120000000.0,234000000.0,17700000.0,1530000.0,20800000.0,2460000.0,31900000.0,55900000000000.0,0.0,W40x294
H_SC_AR_S01_W1000x415,W1000x415,305.0,1020.0,46.0,26.2,29.9,53100.0,415.0,3.15,8530000000.0,217000000.0,16700000.0,1430000.0,19500000.0,2290000.0,27100000.0,51600000000000.0,0.0,W40x278
H_SC_AR_S01_W1000x393,W1000x393,302.0,1020.0,43.9,24.4,30.0,49900.0,393.0,3.15,8070000000.0,205000000.0,15900000.0,1350000.0,18500000.0,2160000.0,23400000.0,48600000000000.0,0.0,W40x264
H_SC_AR_S01_W1000x350,W1000x350,302.0,1010.0,40.1,21.1,30.0,44600.0,350.0,3.12,7240000000.0,185000000.0,14300000.0,1220000.0,16600000.0,1930000.0,17200000.0,43200000000000.0,0.0,W40x235
H_SC_AR_S01_W1000x314,W1000x314,300.0,1000.0,36.1,19.1,29.9,40100.0,314.0,3.1,6450000000.0,162000000.0,12900000.0,1080000.0,14800000.0,1720000.0,12700000.0,37900000000000.0,0.0,W40x211
H_SC_AR_S01_W1000x272,W1000x272,300.0,991.0,30.5,16.5,30.0,34400.0,272.0,3.1,5490000000.0,138000000.0,11100000.0,918000.0,12700000.0,1450000.0,8030000.0,31700000000000.0,0.0,W40x183
H_SC_AR_S01_W1000x249,W1000x249,300.0,980.0,26.2,16.5,29.9,31800.0,249.0,3.07,4830000000.0,118000000.0,9830000.0,785000.0,11400000.0,1250000.0,5830000.0,26800000000000.0,0.0,W40x167
H_SC_AR_S01_W1000x222,W1000x222,300.0,970.0,21.1,16.0,30.0,28300.0,222.0,3.05,4080000000.0,95300000.0,8410000.0,636000.0,9800000.0,1020000.0,3900000.0,21500000000000.0,0.0,W40x149
H_SC_AR_S01_W920x970,W920x970,447.0,1040.0,89.9,50.0,24.1,124000.0,970.0,3.73,21100000000.0,1340000000.0,40300000.0,6010000.0,47700000.0,9520000.0,247000000.0,303000000000000.0,0.0,W36x652
H_SC_AR_S01_W920x787,W920x787,437.0,1010.0,73.9,40.9,24.1,101000.0,787.0,3.66,16500000000.0,1040000000.0,32600000.0,4740000.0,38200000.0,7440000.0,136000000.0,227000000000000.0,0.0,W36x529
H_SC_AR_S01_W920x725,W920x725,434.0,998.0,68.1,38.1,24.1,92300.0,725.0,3.61,15000000000.0,937000000.0,30000000.0,4310000.0,34900000.0,6750000.0,107000000.0,202000000000000.0,0.0,W36x487
H_SC_AR_S01_W920x656,W920x656,432.0,988.0,62.0,34.5,24.1,83900.0,656.0,3.58,13400000000.0,828000000.0,27000000.0,3850000.0,31300000.0,6030000.0,80700000.0,178000000000000.0,0.0,W36x441
H_SC_AR_S01_W920x588,W920x588,427.0,975.0,55.9,31.0,24.1,74800.0,588.0,3.56,11900000000.0,728000000.0,24400000.0,3410000.0,28000000.0,5330000.0,59100000.0,154000000000000.0,0.0,W36x395
H_SC_AR_S01_W920x537,W920x537,424.0,965.0,51.1,28.4,24.1,68400.0,537.0,3.53,10700000000.0,653000000.0,22100000.0,3080000.0,25400000.0,4800000.0,45400000.0,137000000000000.0,0.0,W36x361
H_SC_AR_S01_W920x491,W920x491,422.0,958.0,47.0,25.9,24.1,62500.0,491.0,3.51,9700000000.0,591000000.0,20300000.0,2800000.0,23100000.0,4340000.0,35100000.0,122000000000000.0,0.0,W36x330
H_SC_AR_S01_W920x449,W920x449,424.0,947.0,42.7,24.0,24.1,57400.0,449.0,3.51,8780000000.0,541000000.0,18500000.0,2560000.0,21000000.0,3950000.0,26800000.0,111000000000000.0,0.0,W36x302
H_SC_AR_S01_W920x420,W920x420,422.0,942.0,39.9,22.5,24.1,53500.0,420.0,3.48,8160000000.0,499000000.0,17200000.0,2360000.0,19500000.0,3650000.0,21900000.0,102000000000000.0,0.0,W36x282
H_SC_AR_S01_W920x390,W920x390,422.0,937.0,36.6,21.3,24.1,49800.0,390.0,3.48,7450000000.0,454000000.0,15900000.0,2160000.0,18000000.0,3340000.0,17300000.0,91800000000000.0,0.0,W36x262
H_SC_AR_S01_W920x368,W920x368,419.0,932.0,34.3,20.3,24.1,46800.0,368.0,3.45,6950000000.0,420000000.0,15000000.0,2020000.0,16900000.0,3110000.0,14400000.0,84900000000000.0,0.0,W36x247
H_SC_AR_S01_W920x344,W920x344,419.0,927.0,32.0,19.3,24.1,44000.0,344.0,3.45,6490000000.0,391000000.0,14000000.0,1870000.0,15800000.0,2880000.0,11900000.0,78400000000000.0,0.0,W36x231
H_SC_AR_S01_W920x381,W920x381,310.0,951.0,43.9,24.4,19.1,48600.0,381.0,3.05,6990000000.0,220000000.0,14700000.0,1420000.0,17000000.0,2250000.0,22000000.0,45100000000000.0,0.0,W36x256
H_SC_AR_S01_W920x345,W920x345,307.0,943.0,39.9,22.1,19.0,43900.0,345.0,3.05,6240000000.0,195000000.0,13300000.0,1270000.0,15300000.0,2000000.0,16500000.0,39700000000000.0,0.0,W36x232
H_SC_AR_S01_W920x313,W920x313,310.0,932.0,34.5,21.1,19.1,39900.0,313.0,3.02,5490000000.0,171000000.0,11800000.0,1110000.0,13700000.0,1750000.0,11700000.0,34400000000000.0,0.0,W36x210
H_SC_AR_S01_W920x289,W920x289,307.0,927.0,32.0,19.4,19.1,36800.0,289.0,3.02,5040000000.0,156000000.0,10900000.0,1010000.0,12600000.0,1600000.0,9240000.0,31200000000000.0,0.0,W36x194
H_SC_AR_S01_W920x271,W920x271,307.0,922.0,30.0,18.4,19.0,34600.0,271.0,3.0,4700000000.0,144000000.0,10200000.0,944000.0,11800000.0,1490000.0,7700000.0,28700000000000.0,0.0,W36x182
H_SC_AR_S01_W920x253,W920x253,305.0,919.0,27.9,17.3,19.1,32300.0,253.0,3.0,4370000000.0,133000000.0,9520000.0,872000.0,10900000.0,1370000.0,6290000.0,26500000000000.0,0.0,W36x170
H_SC_AR_S01_W920x238,W920x238,305.0,914.0,25.9,16.5,19.1,30300.0,238.0,2.97,4060000000.0,123000000.0,8880000.0,805000.0,10200000.0,1270000.0,5160000.0,24200000000000.0,0.0,W36x160
H_SC_AR_S01_W920x223,W920x223,305.0,912.0,23.9,15.9,19.0,28600.0,223.0,2.97,3760000000.0,112000000.0,8260000.0,739000.0,9520000.0,1160000.0,4200000.0,22100000000000.0,0.0,W36x150
H_SC_AR_S01_W920x201,W920x201,305.0,904.0,20.1,15.2,19.0,25700.0,201.0,2.97,3250000000.0,93700000.0,7190000.0,618000.0,8340000.0,978000.0,2910000.0,18300000000000.0,0.0,W36x135
H_SC_AR_S01_W840x576,W840x576,411.0,914.0,57.9,32.0,20.1,73500.0,576.0,3.38,10100000000.0,674000000.0,22100000.0,3280000.0,25600000.0,5110000.0,61600000.0,123000000000000.0,0.0,W33x387
H_SC_AR_S01_W840x527,W840x527,409.0,904.0,53.1,29.5,20.1,67100.0,527.0,3.35,9160000000.0,608000000.0,20300000.0,2970000.0,23300000.0,4620000.0,47900000.0,110000000000000.0,0.0,W33x354
H_SC_AR_S01_W840x473,W840x473,406.0,894.0,48.0,26.4,20.1,60500.0,473.0,3.33,8120000000.0,537000000.0,18200000.0,2640000.0,20800000.0,4100000.0,35100000.0,95900000000000.0,0.0,W33x318
H_SC_AR_S01_W840x433,W840x433,404.0,884.0,43.9,24.4,20.1,55200.0,433.0,3.3,7370000000.0,483000000.0,16700000.0,2390000.0,19000000.0,3700000.0,27100000.0,85700000000000.0,0.0,W33x291
