,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Flange Fillet##SECTION_PROPERTY##MILLIMETERS,Top Web Fillet##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Centroid Horizontal##SECTION_PROPERTY##MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing Shorter Flange##SECTION_DIMENSION##MILLIMETERS,Bolt Spacing 1 Longer Flange##SECTION_DIMENSION##MILLIMETERS,Bolt Spacing 2 Longer Flange##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SC_L51x51x3.2,50.8,50.8,3.18,3.18,1.59,1.59,3.18,13.6,13.6,317,0.196,2.4,78700,78700,2110,2110,3770,3770,1220,212000,28.575,28.575,0,L2X2X1/8
H_SC_L51x51x4.8,50.8,50.8,4.76,4.76,2.38,2.38,4.76,14.2,14.2,466,0.199,3.6,113000,113000,3080,3080,5540,5540,3830,682000,28.575,28.575,0,L2X2X3/16
H_SC_L51x51x6.4,50.8,50.8,6.35,6.35,3.175,3.175,6.35,14.9,14.9,609,0.198,4.7,144000,144000,4000,4000,7210,7210,8700,1540000,28.575,28.575,0,L2X2X1/4
H_SC_L51x51x7.9,50.8,50.8,7.94,7.94,3.97,3.97,7.94,15.5,15.5,748,0.197,5.8,172000,172000,4880,4880,8800,8800,16400,2850000,28.575,28.575,0,L2X2X5/16
H_SC_L51x51x9.5,50.8,50.8,9.53,9.53,4.765,4.765,9.53,16.1,16.1,884,0.195,7,198000,198000,5700,5700,10300,10300,27400,4670000,28.575,28.575,0,L2X2X3/8
H_SC_L64x64x4.8,63.5,63.5,4.76,4.76,2.38,2.38,4.76,17.4,17.4,581,0.25,4.6,223000,223000,4830,4830,8670,8670,4750,1370000,34.925,34.925,0,L2 1/2X2 1/2X3/16
H_SC_L64x64x6.4,63.5,63.5,6.35,6.35,3.175,3.175,6.35,18.1,18.1,768,0.247,6.1,288000,288000,6340,6340,11400,11400,10900,3120000,34.925,34.925,0,L2 1/2X2 1/2X1/4
H_SC_L64x64x7.9,63.5,63.5,7.94,7.94,3.97,3.97,7.94,18.7,18.7,942,0.25,7.4,348000,348000,7770,7770,14000,14000,20600,5850000,34.925,34.925,0,L2 1/2X2 1/2X5/16
H_SC_L64x64x9.5,63.5,63.5,9.53,9.53,4.765,4.765,9.53,19.3,19.3,1120,0.248,8.7,405000,405000,9140,9140,16600,16600,34700,9720000,34.925,34.925,0,L2 1/2X2 1/2X3/8
H_SC_L64x64x12.7,63.5,63.5,12.7,12.7,6.35,6.35,12.7,20.4,20.4,1460,0.25,11.4,508000,508000,11700,11700,21100,21100,78300,21200000,34.925,34.925,0,L2 1/2X2 1/2X1/2
