,Structural Material##OTHER##,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Length##LENGTH##MILLIMETERS,b##LENGTH##MILLIMETERS,d##LENGTH##MILLIMETERS,t##LENGTH##MILLIMETERS,x##LENGTH##MILLIMETERS,y##LENGTH##MILLIMETERS,A##AREA##SQUARE_METERS
H_SC_L-25x25x3,"Steel, 45-345",0.1,1.12,1000,25,25,3,7.19,7.19,142.7
H_SC_L-30x30x3,"Steel, 45-345",0.18,1.36,1000,30,30,3,8.44,8.44,172.7
H_SC_L-40x40x5,"Steel, 45-345",0.16,2.95,1000,40,40,5,11.7,11.7,375.5
H_SC_L-45x45x4,"Steel, 45-345",0.18,2.74,1000,45,45,4,12.4,12.4,349.2
H_SC_L-50x50x4,"Steel, 45-345",0.2,3.06,1000,50,50,4,13.7,13.7,389.2
H_SC_L-50x50x5,"Steel, 45-345",0.2,3.77,1000,50,50,5,14.1,14.1,408.2
H_SC_L-50x50x6,"Steel, 45-345",0.2,4.43,1000,50,50,6,14.4,14.4,564.4
H_SC_L-60x60x4,"Steel, 45-345",0.24,3.68,1000,60,60,4,16.1,16.1,469.2
H_SC_L-60x60x5,"Steel, 45-345",0.24,4.55,1000,60,60,5,16.6,16.6,580.2
H_SC_L-60x60x6,"Steel, 45-345",0.24,5.37,1000,60,60,6,16.9,16.9,684.4
H_SC_L-65x65x5,"Steel, 45-345",0.26,5,1000,65,65,5,17.7,17.7,636.7
H_SC_L-65x65x6,"Steel, 45-345",0.26,5.91,1000,65,65,6,18.1,18.1,752.7
H_SC_L-65x65x8,"Steel, 45-345",0.26,7.66,1000,65,65,8,18.8,18.8,976.1
H_SC_L-70x70x6,"Steel, 45-345",0.28,6.38,1000,70,70,6,19.3,19.3,812.7
H_SC_L-75x75x6,"Steel, 45-345",0.3,6.85,1000,75,75,6,20.6,20.6,872.7
H_SC_L-75x75x9,"Steel, 45-345",0.3,9.96,1000,75,75,9,21.7,21.7,1269
H_SC_L-75x75x12,"Steel, 45-345",0.3,13,1000,75,75,12,22.9,22.9,1656
H_SC_L-80x80x6,"Steel, 45-345",0.32,7.32,1000,80,80,6,21.8,21.8,932.7
H_SC_L-80x80x7,"Steel, 45-345",0.32,8.48,1000,80,80,7,22.3,22.3,1079.7
H_SC_L-90x90x6,"Steel, 45-345",0.36,8.28,1000,90,90,6,24.2,24.2,1055
H_SC_L-90x90x7,"Steel, 45-345",0.36,9.59,1000,90,90,7,24.6,24.6,1222
H_SC_L-90x90x8,"Steel, 45-345",0.36,10.8,1000,90,90,8,25,25,1376.4
H_SC_L-90x90x9,"Steel, 45-345",0.36,12.08,1000,90,90,9,25.4,25.4,1539.4
H_SC_L-90x90x10,"Steel, 45-345",0.36,13.3,1000,90,90,10,25.7,25.7,1700
H_SC_L-90x90x13,"Steel, 45-345",0.36,17,1000,90,90,13,26.9,26.9,2171
H_SC_L-100x100x7,"Steel, 45-345",0.4,10.7,1000,100,100,7,27.1,27.1,1362
H_SC_L-100x100x8,"Steel, 45-345",0.4,12.06,1000,100,100,8,25,25,1536
H_SC_L-100x100x10,"Steel, 45-345",0.4,14.9,1000,100,100,10,28.2,28.2,1900
H_SC_L-100x100x13,"Steel, 45-345",0.4,19.1,1000,100,100,13,29.4,29.4,2431
H_SC_L-120x120x8,"Steel, 45-345",0.48,14.7,1000,120,120,8,32.4,32.4,1876
H_SC_L-130x130x9,"Steel, 45-345",0.52,17.9,1000,130,130,9,35.3,35.3,2274
H_SC_L-130x130x10,"Steel, 45-345",0.52,19.75,1000,130,130,10,35.7,35.7,2516
H_SC_L-130x130x12,"Steel, 45-345",0.52,23.4,1000,130,130,12,36.4,36.4,2976
H_SC_L-130x130x15,"Steel, 45-345",0.52,28.8,1000,130,130,15,37.6,37.6,3675
H_SC_L-150x150x10,"Steel, 45-345",0.6,22.9,1000,150,150,10,40.6,40.6,2921
H_SC_L-150x150x12,"Steel, 45-345",0.6,27.3,1000,150,150,12,41.4,41.4,3477
H_SC_L-150x150x15,"Steel, 45-345",0.6,33.6,1000,150,150,15,42.4,42.4,4274
H_SC_L-150x150x19,"Steel, 45-345",0.6,41.9,1000,150,150,19,44,44,5338
H_SC_L-175x175x12,"Steel, 45-345",0.7,31.8,1000,175,175,12,47.3,47.3,4052
H_SC_L-175x175x15,"Steel, 45-345",0.7,39.4,1000,175,175,15,48.5,48.5,5021
H_SC_L-200x200x15,"Steel, 45-345",0.8,45.3,1000,200,200,15,54.6,54.6,5775
H_SC_L-200x200x20,"Steel, 45-345",0.8,59.7,1000,200,200,20,6.7,6.7,7600
H_SC_L-200x200x25,"Steel, 45-345",0.8,73.6,1000,200,200,25,58.6,58.6,9375
H_SC_L-250x250x25,"Steel, 45-345",1,93.7,1000,250,250,25,71,71,11940
H_SC_L-250x250x35,"Steel, 45-345",1,128,1000,250,250,35,74.5,74.5,16260
