,H_SectionID##SECTION_PROPERTY##TEXT,W##OTHER##,Structural Material##OTHER##,Assembly Code##OTHER##,Legs##OTHER##,Length##LENGTH##MILLIMETERS,Space##LENGTH##MILLIMETERS,b##LENGTH##MILLIMETERS,d##LENGTH##MILLIMETERS,t##LENGTH##MILLIMETERS,y##LENGTH##MILLIMETERS,A##AREA##SQUARE_METERS,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER
H_SB_2Ls-25x25x3,2Ls-25x25x3,103.0,Steel ASTM A36,B10,Equal,1000.0,0.0,25.0,25.0,3.0,7.1899999999999995,0.0002854,0.2,2.24
H_SB_2Ls-30x30x3,2Ls-30x30x3,39.5,Steel ASTM A36,B10,LLBB,1000.0,0.0,30.0,30.0,3.0,8.44,0.0003454,0.36,2.72
H_SB_2Ls-40x40x5,2Ls-40x40x5,5.57,Steel ASTM A36,B10,SLBB,1000.0,0.0,40.0,40.0,5.0,11.7,0.0007509999999999999,0.32,5.9
H_SB_2Ls-45x45x4,2Ls-45x45x4,5.57,Steel ASTM A36,B10,SLBB,1000.0,0.0,45.0,45.0,4.0,12.4,0.0006984,0.36,5.48
H_SB_2Ls-50x50x4,2Ls-50x50x4,5.57,Steel ASTM A36,B10,SLBB,1000.0,0.0,50.0,50.0,4.0,13.700000000000001,0.0007784,0.4,6.12
H_SB_2Ls-50x50x5,2Ls-50x50x5,7.3,Steel ASTM A36,B10,SLBB,1000.0,0.0,50.0,50.0,5.0,14.1,0.0008163999999999999,0.4,7.54
H_SB_2Ls-50x50x6,2Ls-50x50x6,7.3,Steel ASTM A36,B10,SLBB,1000.0,0.0,50.0,50.0,6.0,14.399999999999999,0.0011288,0.4,8.86
H_SB_2Ls-60x60x4,2Ls-60x60x4,7.3,Steel ASTM A36,B10,SLBB,1000.0,0.0,60.0,60.0,4.0,16.1,0.0009384,0.48,7.36
H_SB_2Ls-60x60x5,2Ls-60x60x5,8.97,Steel ASTM A36,B10,SLBB,1000.0,0.0,60.0,60.0,5.0,16.599999999999998,0.0011603999999999998,0.48,9.1
H_SB_2Ls-60x60x6,2Ls-60x60x6,8.97,Steel ASTM A36,B10,SLBB,1000.0,0.0,60.0,60.0,6.0,16.9,0.0013687999999999999,0.48,10.74
H_SB_2Ls-65x65x5,2Ls-65x65x5,8.97,Steel ASTM A36,B10,SLBB,1000.0,0.0,65.0,65.0,5.0,17.7,0.0012734,0.52,10.0
H_SB_2Ls-65x65x6,2Ls-65x65x6,10.6,Steel ASTM A36,B10,SLBB,1000.0,0.0,65.0,65.0,6.0,18.1,0.0015054,0.52,11.82
H_SB_2Ls-65x65x8,2Ls-65x65x8,10.6,Steel ASTM A36,B10,SLBB,1000.0,0.0,65.0,65.0,8.0,18.799999999999997,0.0019521999999999996,0.52,15.32
H_SB_2Ls-70x70x6,2Ls-70x70x6,10.6,Steel ASTM A36,B10,SLBB,1000.0,0.0,70.0,70.0,6.0,19.3,0.0016254,0.56,12.76
H_SB_2Ls-75x75x6,2Ls-75x75x6,6.24,Steel ASTM A36,B10,SLBB,1000.0,0.0,75.0,75.0,6.0,20.6,0.0017454,0.6,13.7
H_SB_2Ls-75x75x9,2Ls-75x75x9,6.24,Steel ASTM A36,B10,SLBB,1000.0,0.0,75.0,75.0,9.0,21.7,0.002538,0.6,19.92
H_SB_2Ls-75x75x12,2Ls-75x75x12,6.24,Steel ASTM A36,B10,SLBB,1000.0,0.0,75.0,75.0,12.0,22.9,0.0033119999999999994,0.6,26.0
H_SB_2Ls-80x80x6,2Ls-80x80x6,8.18,Steel ASTM A36,B10,SLBB,1000.0,0.0,80.0,80.0,6.0,21.8,0.0018654,0.64,14.64
H_SB_2Ls-80x80x7,2Ls-80x80x7,8.18,Steel ASTM A36,B10,SLBB,1000.0,0.0,80.0,80.0,7.0,22.3,0.0021594,0.64,16.96
H_SB_2Ls-90x90x6,2Ls-90x90x6,8.18,Steel ASTM A36,B10,SLBB,1000.0,0.0,90.0,90.0,6.0,24.2,0.00211,0.72,16.56
H_SB_2Ls-90x90x7,2Ls-90x90x7,10.1,Steel ASTM A36,B10,SLBB,1000.0,0.0,90.0,90.0,7.0,24.6,0.002444,0.72,19.18
H_SB_2Ls-90x90x8,2Ls-90x90x8,10.1,Steel ASTM A36,B10,SLBB,1000.0,0.0,90.0,90.0,8.0,25.0,0.0027527999999999997,0.72,21.6
H_SB_2Ls-90x90x9,2Ls-90x90x9,10.1,Steel ASTM A36,B10,SLBB,1000.0,0.0,90.0,90.0,9.0,25.4,0.0030788,0.72,24.16
H_SB_2Ls-90x90x10,2Ls-90x90x10,11.9,Steel ASTM A36,B10,SLBB,1000.0,0.0,90.0,90.0,10.0,25.7,0.0034,0.72,26.6
