,H_SectionID##SECTION_PROPERTY##TEXT,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Flange Fillet##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Centroid Horizontal##SECTION_PROPERTY##MILLIMETERS,Flange Thickness Location##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SB_C380x74,C380x74,94.5,381.0,16.5,18.2,8.25,16.5,20.3,38.15,9480.0,74.0,168000000.0,4580000.0,882000.0,61800.0,1120000.0,133000.0,1100000.0,132000000000.0,57.15,ChannelsC15X50
H_SB_C380x60,C380x60,89.4,381.0,16.5,13.2,8.25,16.5,19.8,38.1,7610.0,60.0,145000000.0,3820000.0,762000.0,54700.0,942000.0,112000.0,604000.0,110000000000.0,50.8,ChannelsC15X40
H_SB_C380x50.4,C380x50.4,86.4,381.0,16.5,10.2,8.25,16.5,20.0,38.1,6450.0,50.4,131000000.0,3360000.0,688000.0,50600.0,832000.0,101000.0,420000.0,96100000000.0,50.8,ChannelsC15X33.9
H_SB_C310x45,C310x45,80.5,305.0,12.7,13.0,6.35,12.7,17.1,33.75,5680.0,45.0,67400000.0,2130000.0,442000.0,33600.0,554000.0,70800.0,358000.0,40500000000.0,44.45,ChannelsC12X30
H_SB_C310x37,C310x37,77.5,305.0,12.7,9.83,6.35,12.7,17.1,33.835,4740.0,37.0,59900000.0,1850000.0,393000.0,30600.0,482000.0,62600.0,224000.0,34900000000.0,44.45,ChannelsC12X25
H_SB_C310x30.8,C310x30.8,74.7,305.0,12.7,7.16,6.35,12.7,17.7,33.77,3920.0,30.8,53700000.0,1610000.0,352000.0,28200.0,420000.0,56900.0,154000.0,30100000000.0,44.45,ChannelsC12X20.7
H_SB_C250x45,C250x45,77.0,254.0,11.1,17.1,5.55,11.1,16.5,29.95,5680.0,45.0,42900000.0,1640000.0,339000.0,27000.0,438000.0,61900.0,508000.0,21300000000.0,44.45,ChannelsC10X30
H_SB_C250x37,C250x37,73.4,254.0,11.1,13.4,5.55,11.1,15.7,30.0,4740.0,37.0,37900000.0,1390000.0,298000.0,24100.0,379000.0,52100.0,286000.0,18300000000.0,44.45,ChannelsC10X25
H_SB_C250x30,C250x30,69.6,254.0,11.1,9.63,5.55,11.1,15.4,29.985,3790.0,30.0,32800000.0,1170000.0,259000.0,21500.0,318000.0,44200.0,153000.0,15300000000.0,38.1,ChannelsC10X20
H_SB_C250x22.8,C250x22.8,66.0,254.0,11.1,6.1,5.55,11.1,16.1,29.95,2890.0,22.8,28000000.0,945000.0,221000.0,18800.0,261000.0,38300.0,87000.0,12200000000.0,38.1,ChannelsC10X15.3
