,H_SectionID##SECTION_PROPERTY##TEXT,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS
H_SB_IPE A 100,IPE A 100,55.0,98.0,45.0,4.7,7.0,878.0,6.9,0.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SB_IPE 100,IPE 100,55.0,100.0,40.1,5.7,7.0,1032.0,8.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124000000000000.0,0.0
H_SB_IPE A 120,IPE A 120,64.0,117.6,31.0,5.1,7.0,1103.0,8.7,0.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92900000000000.0,0.0
H_SB_IPE 120,IPE 120,64.0,120.0,82.0,6.3,7.0,1321.0,10.4,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268000000000000.0,0.0
H_SB_IPE A 140,IPE A 140,73.0,137.4,59.9,5.6,7.0,1339.0,10.5,0.547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171000000000000.0,0.0
H_SB_IPE 140,IPE 140,73.0,140.0,55.9,6.9,7.0,1643.0,12.9,0.551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155000000000000.0,0.0
H_SB_IPE A 160,IPE A 160,82.0,157.0,51.1,5.9,9.0,1618.0,12.7,0.619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138000000000000.0,0.0
H_SB_IPE 160,IPE 160,82.0,160.0,46.0,7.4,9.0,2009.0,15.8,0.623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120000000000000.0,0.0
H_SB_IPE A 180,IPE A 180,91.0,177.0,40.1,6.5,9.0,1958.0,15.4,0.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102000000000000.0,0.0
H_SB_IPE 180,IPE 180,91.0,180.0,36.1,8.0,9.0,2395.0,18.8,0.698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89700000000000.0,0.0
