,H_SectionID##SECTION_PROPERTY##TEXT,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Flange Fillet##SECTION_PROPERTY##MILLIMETERS,Top Web Fillet##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Centroid Horizontal##SECTION_PROPERTY##MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing Shorter Flange##SECTION_DIMENSION##MILLIMETERS,Bolt Spacing 1 Longer Flange##SECTION_DIMENSION##MILLIMETERS,Bolt Spacing 2 Longer Flange##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SB_L51x51x3.2,L51x51x3.2,50.8,50.8,3.18,3.18,1.59,1.59,3.18,13.6,13.6,317.0,0.196,2.4,78700.0,78700.0,2110.0,2110.0,3770.0,3770.0,1220.0,212000.0,28.575,28.575,0.0,L2X2X1/8
H_SB_L51x51x4.8,L51x51x4.8,50.8,50.8,4.76,4.76,2.38,2.38,4.76,14.2,14.2,466.0,0.199,3.6,113000.0,113000.0,3080.0,3080.0,5540.0,5540.0,3830.0,682000.0,28.575,28.575,0.0,L2X2X3/16
H_SB_L51x51x6.4,L51x51x6.4,50.8,50.8,6.35,6.35,3.175,3.175,6.35,14.9,14.9,609.0,0.198,4.7,144000.0,144000.0,4000.0,4000.0,7210.0,7210.0,8700.0,1540000.0,28.575,28.575,0.0,L2X2X1/4
H_SB_L51x51x7.9,L51x51x7.9,50.8,50.8,7.94,7.94,3.97,3.97,7.94,15.5,15.5,748.0,0.197,5.8,172000.0,172000.0,4880.0,4880.0,8800.0,8800.0,16400.0,2850000.0,28.575,28.575,0.0,L2X2X5/16
H_SB_L51x51x9.5,L51x51x9.5,50.8,50.8,9.53,9.53,4.765,4.765,9.53,16.1,16.1,884.0,0.195,7.0,198000.0,198000.0,5700.0,5700.0,10300.0,10300.0,27400.0,4670000.0,28.575,28.575,0.0,L2X2X3/8
H_SB_L64x64x4.8,L64x64x4.8,63.5,63.5,4.76,4.76,2.38,2.38,4.76,17.4,17.4,581.0,0.25,4.6,223000.0,223000.0,4830.0,4830.0,8670.0,8670.0,4750.0,1370000.0,34.925,34.925,0.0,L2 1/2X2 1/2X3/16
H_SB_L64x64x6.4,L64x64x6.4,63.5,63.5,6.35,6.35,3.175,3.175,6.35,18.1,18.1,768.0,0.247,6.1,288000.0,288000.0,6340.0,6340.0,11400.0,11400.0,10900.0,3120000.0,34.925,34.925,0.0,L2 1/2X2 1/2X1/4
H_SB_L64x64x7.9,L64x64x7.9,63.5,63.5,7.94,7.94,3.97,3.97,7.94,18.7,18.7,942.0,0.25,7.4,348000.0,348000.0,7770.0,7770.0,14000.0,14000.0,20600.0,5850000.0,34.925,34.925,0.0,L2 1/2X2 1/2X5/16
H_SB_L64x64x9.5,L64x64x9.5,63.5,63.5,9.53,9.53,4.765,4.765,9.53,19.3,19.3,1120.0,0.248,8.7,405000.0,405000.0,9140.0,9140.0,16600.0,16600.0,34700.0,9720000.0,34.925,34.925,0.0,L2 1/2X2 1/2X3/8
H_SB_L64x64x12.7,L64x64x12.7,63.5,63.5,12.7,12.7,6.35,6.35,12.7,20.4,20.4,1460.0,0.25,11.4,508000.0,508000.0,11700.0,11700.0,21100.0,21100.0,78300.0,21200000.0,34.925,34.925,0.0,L2 1/2X2 1/2X1/2
