 , , , , ,HEC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,실행,실행,입찰,입찰
 , , , , ,Cat. 1,Cat. 2,Cat. 3, ,Structural Foundations, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Work Group,aWBS L01,aWBS L02,aWBS L03,단위, , , , , ,FT111_SOG_THK.200_Foundation Slab, , , , ,FT121_SOG_THK.400_ACCU PAD, , , , ,FT211_Footing-Rectangular, , , , ,FT131_Pile Cap-4 Pile, , , , ,FT132_Pile Cap-2 Pile, , , , ,FT133_Pile Cap-3 Pile, , , , ,FT151_Pile-Round Concrete, , , , ,FT152_Pile-Rectangular Concrete, , , , ,FT155_Pile-Steel Pipe, , , , ,FT113_Wall Foundation, , , , , , , , , , , ,설명,계산모듈 Type,계산모듈,계산모듈 Type
 , , , , , , , , , ,9,select,기본형상,목적형상,calc,14,select,기본형상,목적형상,calc,8,select,기본형상,목적형상,calc,15,select,기본형상,목적형상,calc,0,select,filter,take,calc,0,select,filter,take,calc,0,select,filter,take,calc,0,select,filter,take,calc,0,select,filter,take,calc,0,select,filter,take,calc, ,select,filter,take,calc, , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
AR, , , , ,형상제작(더미 포함),Cat.1, Cat.3 값 기반 보정 계산 산출(by Parameter),DYNAMO
가상 모델링 산출,카테고리 유무, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A01ZZ001,Earth Work,null,Excavation,M3,0,0,0,1,O,00001,Structural Foundations>All element of Category,슬라브 형상,슬라브 오프셋 형상, ,00001,Structural Foundations>All element of Category,슬라브 형상,슬라브 오프셋 형상, ,00004,Structural Foundations>All element of Category,기초 하부면 외곽선 추출,1. 외곽선 오프셋 
  (최소폭 고려)
2. GL 레벨로 복사  
  (휴식각 고려)
3. Solid 작성,Solid의 부피산출, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,type 2, , 
A01ZZ002,Earth Work,null,Blasting for Excavation,M3,0,0,0,1,O, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,type 3, , 
A01ZZ003,Earth Work,null,Backfill,M3,0,0,0,1,O,00001,Structural Foundations>All element of Category, , ,A01ZZ001에서 기초형상 체적값 차감,00001,Structural Foundations>All element of Category, , ,A01ZZ001에서 기초형상 체적값 차감, ,Structural Foundations>All element of Category, , ,A01ZZ001에서 기초형상 체적값 차감, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
